"Gene","avg_log2FC","p_val","p_val_adj","pct_Male","pct_Female","Significant","Direction"
"Hyou1",-0.2202,9.87902970812528e-13,3.18944474126825e-08,0.161,0.236,"No","NS"
"Ctsz",-0.2204,5.15538397788297e-11,1.66441571725952e-06,0.39,0.455,"No","NS"
"Cdkn2d",-0.2205,8.12522116972053e-15,2.62322765464427e-10,0.225,0.312,"No","NS"
"Arhgef18",-0.2205,1.70957765227189e-13,5.51937145035981e-09,0.402,0.478,"No","NS"
"Nr2f6",-0.2205,5.18860962965255e-11,1.67514261893332e-06,0.324,0.395,"No","NS"
"Sparc",-0.2208,8.92522818541771e-16,2.88150991966211e-11,0.975,0.987,"No","NS"
"Ppp1r14b",-0.2209,1.93538660320236e-18,6.24839564843883e-14,0.868,0.902,"No","NS"
"Arpc5l",-0.221,9.98425756763923e-13,3.22341755571232e-08,0.493,0.551,"No","NS"
"Ets1",-0.2211,5.84401002768543e-10,1.88673863743824e-05,0.366,0.428,"No","NS"
"Scand1",-0.2215,1.43775532864218e-11,4.64179307852128e-07,0.577,0.628,"No","NS"
"Wee1",-0.2216,1.04131870778774e-12,3.36189744809271e-08,0.315,0.394,"No","NS"
"Purg",-0.2217,3.76354259127568e-22,1.21505972559335e-17,0.103,0.206,"No","NS"
"Hras",-0.2217,2.22794547633165e-12,7.19292197033672e-08,0.471,0.539,"No","NS"
"Tmed7",-0.2218,5.42059114736553e-10,1.75003785192696e-05,0.392,0.453,"No","NS"
"BC034090",-0.2219,1.85435937121168e-44,5.98679922995692e-40,0.002,0.109,"No","NS"
"Jkamp",-0.2219,1.24950757063419e-12,4.03403519179247e-08,0.379,0.453,"No","NS"
"Dpm1",-0.2219,1.53770645445395e-10,4.96448528820458e-06,0.457,0.518,"No","NS"
"Agpat4",-0.2229,7.61174768449684e-14,2.45745273993981e-09,0.273,0.362,"No","NS"
"Tmem165",-0.223,2.62418170291103e-11,8.47217062784825e-07,0.51,0.555,"No","NS"
"Inppl1",-0.2231,4.63385654016672e-13,1.49604058399282e-08,0.251,0.332,"No","NS"
"Pakap",-0.2236,2.04929762361544e-35,6.61615737784244e-31,0.04,0.158,"No","NS"
"Neto2",-0.2239,2.79022303344982e-16,9.00823506349274e-12,0.283,0.382,"No","NS"
"Cldn19",-0.2244,7.66080498010307e-36,2.47329088782628e-31,0.026,0.134,"No","NS"
"Dipk1b",-0.2246,2.98774150214256e-21,9.64592343966726e-17,0.091,0.188,"No","NS"
"Trmt6",-0.2246,2.68134174402348e-16,8.6567118205798e-12,0.337,0.431,"No","NS"
"Dnajb9",-0.2247,2.33683644583526e-14,7.54447646537913e-10,0.113,0.19,"No","NS"
"Fam171b",-0.2248,1.97379401786119e-22,6.37239398666487e-18,0.087,0.186,"No","NS"
"Tafa5",-0.225,2.52443213152527e-34,8.15012913662935e-30,0.031,0.138,"No","NS"
"Psme4",-0.2252,1.74667542070673e-13,5.63914159575168e-09,0.518,0.581,"No","NS"
"Yme1l1",-0.2255,3.13911231688453e-14,1.01346241150617e-09,0.458,0.532,"No","NS"
"Racgap1",-0.2257,2.21887601709797e-09,7.1636412212008e-05,0.529,0.57,"No","NS"
"Emd",-0.2258,8.11271699540275e-11,2.61919068196578e-06,0.503,0.551,"No","NS"
"Pard6g",-0.2259,2.4256742079587e-23,7.83128918039467e-19,0.096,0.199,"No","NS"
"Mrpl20",-0.2259,1.18409834940201e-15,3.82286152104439e-11,0.67,0.708,"No","NS"
"Phf20",-0.2263,2.17739056692948e-12,7.02970544533181e-08,0.469,0.533,"No","NS"
"Srpr",-0.2265,1.09605894131695e-13,3.53862629204177e-09,0.605,0.656,"No","NS"
"Errfi1",-0.2266,1.37435014678531e-13,4.43708944889637e-09,0.269,0.351,"No","NS"
"Negr1",-0.2268,8.71389372173174e-38,2.81328058806109e-33,0.007,0.104,"No","NS"
"Prrc2c",-0.2269,1.28998498583848e-18,4.16471652677953e-14,0.89,0.897,"No","NS"
"Ulbp1",-0.2272,6.71886319588561e-44,2.16918498279167e-39,0.007,0.118,"No","NS"
"Has2",-0.2272,1.97939192778592e-37,6.39046683885685e-33,0.022,0.131,"No","NS"
"Senp5",-0.2273,5.64611937873842e-14,1.8228496414257e-09,0.388,0.474,"No","NS"
"Tssc4",-0.2274,2.11276897557229e-11,6.82107463763515e-07,0.326,0.399,"No","NS"
"Tanc2",-0.2275,2.37348279909521e-24,7.66278921687888e-20,0.08,0.181,"No","NS"
"Pgrmc1",-0.2275,7.91689749442922e-13,2.55597035607647e-08,0.415,0.485,"No","NS"
"Ogfr",-0.2277,4.39260261230347e-15,1.41815175338218e-10,0.212,0.3,"No","NS"
"Usp8",-0.2279,3.36141013125186e-14,1.08523126087466e-09,0.3,0.387,"No","NS"
"Serinc1",-0.2281,2.8809908301176e-12,9.30127889503467e-08,0.589,0.638,"No","NS"
"Chst2",-0.2285,3.59210607270975e-27,1.15971144557434e-22,0.098,0.217,"No","NS"
"Srpk1",-0.2285,2.86095153415791e-13,9.23658202802882e-09,0.501,0.559,"No","NS"
"Kif26b",-0.2286,1.63516825490803e-23,5.27914071097057e-19,0.061,0.154,"No","NS"
"Stk17b",-0.2286,1.55357606032914e-19,5.01572031077262e-15,0.123,0.22,"No","NS"
"Creb5",-0.2286,5.53694166133109e-14,1.78760161536074e-09,0.29,0.378,"No","NS"
"BC031181",-0.2286,3.64407890764183e-11,1.17649087533217e-06,0.434,0.497,"No","NS"
"Ankrd12",-0.2287,5.7480542147214e-16,1.8557593032228e-11,0.401,0.498,"No","NS"
"Acvr1",-0.2289,4.79076346221195e-11,1.54669798377513e-06,0.365,0.435,"No","NS"
"Pax2",-0.229,2.53209990955895e-45,8.17488455801106e-41,0.004,0.116,"No","NS"
"Crebzf",-0.2293,6.04735944751685e-16,1.95238999763081e-11,0.278,0.37,"No","NS"
"Man1a2",-0.2293,4.36106096012724e-12,1.40796853097708e-07,0.462,0.523,"No","NS"
"Ndfip1",-0.2294,1.02789381140869e-12,3.31855517013297e-08,0.656,0.693,"No","NS"
"Etv6",-0.2295,5.17503126938188e-17,1.67075884531994e-12,0.496,0.581,"No","NS"
"Egfr",-0.2296,4.67458202602897e-23,1.50918880710345e-18,0.14,0.256,"No","NS"
"Hspd1",-0.2297,9.41866664628319e-20,3.04081652675253e-15,0.916,0.951,"No","NS"
"Capns1",-0.2297,3.0219918834512e-15,9.7565007957222e-11,0.682,0.721,"No","NS"
"Plk4",-0.2297,8.10165938816696e-12,2.6156207334697e-07,0.296,0.366,"No","NS"
"Lama2",-0.2298,1.82120556613113e-12,5.87976217025436e-08,0.052,0.109,"No","NS"
"Rnf19a",-0.23,1.0164653098996e-13,3.28165825301086e-09,0.365,0.444,"No","NS"
"Tusc3",-0.23,3.04968875454768e-12,9.84592014405717e-08,0.452,0.523,"No","NS"
"Kif2c",-0.2301,2.69135216666035e-14,8.68903047006292e-10,0.212,0.302,"No","NS"
"Kin",-0.2301,3.04625336965409e-13,9.83482900392822e-09,0.275,0.354,"No","NS"
"Zfp622",-0.2302,1.57022553863062e-11,5.06947315146896e-07,0.393,0.46,"No","NS"
"Rtl8a",-0.2305,1.46481372979803e-16,4.72915112665296e-12,0.194,0.286,"No","NS"
"Tnfaip2",-0.2306,7.38489438609391e-35,2.38421315255042e-30,0.031,0.139,"No","NS"
"Fam171a1",-0.2306,8.02379432436158e-15,2.59048199762014e-10,0.324,0.412,"No","NS"
"Vps13a",-0.2306,1.19072942701246e-13,3.84426995510972e-09,0.482,0.549,"No","NS"
"Pkig",-0.2309,1.01576522700589e-14,3.27939803538851e-10,0.413,0.494,"No","NS"
"Dnmt3a",-0.2311,3.93167210254422e-23,1.2693403383064e-18,0.136,0.251,"No","NS"
"Mcts2",-0.2311,7.52634046500536e-17,2.42987901912698e-12,0.174,0.268,"No","NS"
"Atp2b4",-0.2312,1.79744923363113e-20,5.80306485077809e-16,0.193,0.308,"No","NS"
"Glis3",-0.2316,4.62586695228195e-19,1.49346114554423e-14,0.428,0.535,"No","NS"
"Cdkn2c",-0.2316,7.57376005050596e-19,2.44518843230585e-14,0.151,0.249,"No","NS"
"Ccdc34",-0.2317,1.27535988299477e-15,4.11749938224862e-11,0.727,0.773,"No","NS"
"Mapk14",-0.2319,3.42381271619126e-17,1.10537793542235e-12,0.239,0.338,"No","NS"
"Son",-0.2322,8.45307403006663e-27,2.72907495060701e-22,0.934,0.945,"No","NS"
"Psma4",-0.2322,7.96984219923476e-17,2.57306355402294e-12,0.735,0.77,"No","NS"
"Pwwp3b",-0.2324,9.76320347417017e-16,3.15205024163584e-11,0.253,0.346,"No","NS"
"Mia3",-0.2325,3.52549211963546e-14,1.13820513082431e-09,0.387,0.467,"No","NS"
"Zfand5",-0.2325,3.64386162817183e-13,1.17642072665528e-08,0.408,0.474,"No","NS"
"Shcbp1",-0.2327,1.72173218656628e-16,5.55861236432924e-12,0.257,0.353,"No","NS"
"Lpin2",-0.2328,1.03153719371082e-13,3.33031782989537e-09,0.253,0.334,"No","NS"
"Yy1",-0.233,2.20714739755746e-11,7.12577537301427e-07,0.433,0.494,"No","NS"
"Smim13",-0.2331,5.90240750016052e-18,1.90559226142682e-13,0.136,0.23,"No","NS"
"Abhd12",-0.2332,1.2509833495464e-16,4.03879974401056e-12,0.2,0.295,"No","NS"
"Gcnt2",-0.2333,6.6852719920814e-21,2.15834006264348e-16,0.099,0.194,"No","NS"
"Anapc1",-0.2333,2.44618635127881e-18,7.89751263510363e-14,0.46,0.544,"No","NS"
"Wasl",-0.2333,3.45061037574651e-12,1.11402955980976e-07,0.373,0.443,"No","NS"
"Sh3glb2",-0.2334,5.82206623516119e-18,1.87965408402179e-13,0.184,0.283,"No","NS"
"Acp6",-0.2335,2.44876200823315e-21,7.90582814358071e-17,0.105,0.205,"No","NS"
"En2",-0.2336,2.81448258262006e-46,9.08655701798888e-42,0.003,0.116,"No","NS"
"Mir100hg",-0.2336,2.19816220652499e-28,7.09676668376594e-24,0.893,0.919,"No","NS"
"Plk1",-0.2336,1.3329871337598e-11,4.3035489613435e-07,0.286,0.36,"No","NS"
"Brd2",-0.2337,8.56752834000547e-11,2.76602652457076e-06,0.583,0.63,"No","NS"
"Ssr3",-0.2346,4.95770331950035e-15,1.60059451670069e-10,0.601,0.666,"No","NS"
"Ubxn4",-0.2348,7.30666870836101e-15,2.35895799249435e-10,0.664,0.719,"No","NS"
"Slc30a1",-0.235,1.13219262730416e-32,3.65528389725147e-28,0.045,0.155,"No","NS"
"Fam98b",-0.235,6.82098551968729e-14,2.20215517503104e-09,0.409,0.488,"No","NS"
"Mthfd2l",-0.2351,1.0563072292347e-15,3.41028788958423e-11,0.259,0.355,"No","NS"
"Pdhx",-0.2351,3.19029815734861e-15,1.0299877601e-10,0.205,0.293,"No","NS"
"Golga4",-0.2351,5.06186039771307e-12,1.63422162940166e-07,0.36,0.43,"No","NS"
"Tmem234",-0.2352,8.21864268762981e-16,2.65338879170128e-11,0.7,0.747,"No","NS"
"Nme7",-0.2353,5.45130579262352e-16,1.7599540751485e-11,0.195,0.288,"No","NS"
"Ston1",-0.2356,6.65697150430595e-15,2.14920325016518e-10,0.262,0.347,"No","NS"
"Chd1",-0.2357,2.35541996836418e-14,7.60447336786376e-10,0.5,0.569,"No","NS"
"Ube2m",-0.2359,3.079923136834e-14,9.94353184726858e-10,0.565,0.623,"No","NS"
"Oga",-0.236,6.28318003073359e-16,2.02852467292234e-11,0.455,0.533,"No","NS"
"Secisbp2l",-0.236,1.88432925664372e-13,6.08355700507424e-09,0.326,0.407,"No","NS"
"Raly",-0.2362,8.52477586247463e-18,2.75222388719994e-13,0.69,0.747,"No","NS"
"Ank",-0.2362,3.46419842484614e-12,1.11841646146158e-07,0.332,0.413,"No","NS"
"Ncs1",-0.2366,1.18420867176528e-13,3.82321769679422e-09,0.28,0.364,"No","NS"
"Naa50",-0.2369,8.33448198325294e-12,2.69078750829321e-07,0.515,0.57,"No","NS"
"Picalm",-0.237,2.05576107795224e-15,6.63702464016881e-11,0.522,0.594,"No","NS"
"Ubac1",-0.237,4.15354928535941e-15,1.34097338677829e-10,0.228,0.318,"No","NS"
"AY036118",-0.2371,4.10511496312924e-22,1.32533636584628e-17,0.974,0.987,"No","NS"
"Vapa",-0.2376,9.01091485309842e-18,2.90917386032283e-13,0.659,0.712,"No","NS"
"Car5b",-0.2377,1.55556373073785e-16,5.02213750468716e-12,0.162,0.252,"No","NS"
"Glce",-0.238,5.70474625486353e-23,1.84177732838269e-18,0.115,0.221,"No","NS"
"Ninj1",-0.2382,3.51317963805796e-17,1.13423004614701e-12,0.224,0.321,"No","NS"
"Cyhr1",-0.2382,2.74447939526083e-14,8.86055172759959e-10,0.356,0.443,"No","NS"
"Adrm1",-0.2382,5.38635159513348e-14,1.73898361248884e-09,0.47,0.539,"No","NS"
"Vat1",-0.2384,4.21324830248727e-15,1.36024721445802e-10,0.22,0.309,"No","NS"
"Swi5",-0.2385,7.0042706828779e-17,2.26132878996713e-12,0.705,0.742,"No","NS"
"Colgalt1",-0.2387,6.47282453463511e-12,2.08975140100694e-07,0.391,0.459,"No","NS"
"Psmd4",-0.2388,1.93657425468708e-16,6.25222998125723e-12,0.784,0.821,"No","NS"
"Prelid3b",-0.2388,1.74158446524695e-14,5.62270544604979e-10,0.302,0.389,"No","NS"
"Mtpn",-0.2389,7.01515498193456e-16,2.26484278591757e-11,0.497,0.572,"No","NS"
"Kif3b",-0.239,4.09466985180914e-17,1.32196416165658e-12,0.154,0.244,"No","NS"
"Ctnnal1",-0.2391,1.5319072639914e-15,4.94576260179623e-11,0.35,0.436,"No","NS"
"Fbxw2",-0.2391,4.98207053423623e-14,1.60846147197817e-09,0.365,0.442,"No","NS"
"Braf",-0.2391,6.14893755809439e-11,1.98518449063077e-06,0.426,0.49,"No","NS"
"Pepd",-0.2393,2.46081052201247e-18,7.94472677031725e-14,0.202,0.303,"No","NS"
"Ddx39",-0.2398,8.32535380138855e-16,2.68784047477829e-11,0.688,0.743,"No","NS"
"Rin2",-0.2399,2.22231618735719e-25,7.17474781088269e-21,0.073,0.175,"No","NS"
"Ptk2",-0.2402,2.62669538006781e-18,8.48028603454894e-14,0.612,0.681,"No","NS"
"Rheb",-0.2403,9.28396913280597e-15,2.99732943452641e-10,0.591,0.638,"No","NS"
"Dhfr",-0.2403,1.47834708532914e-12,4.77284356498514e-08,0.267,0.348,"No","NS"
"Abtb2",-0.2404,1.03538974062354e-19,3.34275577760311e-15,0.246,0.36,"No","NS"
"Crnkl1",-0.2406,2.36813972558883e-12,7.64553910406353e-08,0.255,0.33,"No","NS"
"Larp7",-0.2407,1.28325477846385e-12,4.14298805227055e-08,0.502,0.561,"No","NS"
"Hist3h2a",-0.241,1.18188718678932e-23,3.81572278254932e-19,0.112,0.22,"No","NS"
"Csnk2a2",-0.2414,2.8653699540837e-15,9.25084689675923e-11,0.578,0.635,"No","NS"
"Ubr5",-0.2415,1.95531500406019e-21,6.31273449060831e-17,0.7,0.752,"No","NS"
"Etfb",-0.2415,4.40076931218091e-16,1.42078837243761e-11,0.623,0.668,"No","NS"
"Tmem123",-0.2418,2.82786755713434e-17,9.12977040820823e-13,0.197,0.293,"No","NS"
"Ccnb2",-0.2419,1.73276588054096e-11,5.59423464532649e-07,0.48,0.536,"No","NS"
"Dusp4",-0.2421,5.03115667403348e-32,1.62430893221171e-27,0.072,0.192,"No","NS"
"Vav2",-0.2423,5.23103894575979e-24,1.68884092363855e-19,0.096,0.201,"No","NS"
"Pacs2",-0.2425,5.86007910154311e-21,1.89192653793319e-16,0.148,0.254,"No","NS"
"Lin7c",-0.2425,1.43439245513816e-15,4.63093604141356e-11,0.378,0.465,"No","NS"
"Timp2",-0.2427,1.13179230005307e-15,3.65399144072132e-11,0.886,0.894,"No","NS"
"Tmem87b",-0.2431,1.40409301869686e-21,4.53311431086281e-17,0.153,0.262,"No","NS"
"Cd3eap",-0.2433,7.16205241408084e-14,2.312268621886e-09,0.332,0.417,"No","NS"
"Ndrg1",-0.2435,1.38508234336682e-26,4.47173834555977e-22,0.075,0.182,"No","NS"
"Psma7",-0.2435,3.47030129696386e-24,1.12038677372478e-19,0.893,0.927,"No","NS"
"Sall3",-0.2438,1.88626367939986e-24,6.08980228894245e-20,0.145,0.261,"No","NS"
"Map3k20",-0.2438,4.663922813249e-14,1.50574748025744e-09,0.351,0.43,"No","NS"
"Laptm4a",-0.244,4.93274696999338e-19,1.59253735926236e-14,0.772,0.808,"No","NS"
"Mat2a",-0.244,3.66985398528631e-16,1.18481235914968e-11,0.705,0.747,"No","NS"
"Rtf1",-0.244,5.82299621436944e-16,1.87995432780918e-11,0.585,0.646,"No","NS"
"Pkd1",-0.244,1.66453308405478e-15,5.37394506187086e-11,0.376,0.459,"No","NS"
"Add3",-0.2442,3.78097195964476e-23,1.22068679717131e-18,0.123,0.231,"No","NS"
"Katnbl1",-0.2442,1.19834325855189e-13,3.86885121023478e-09,0.412,0.49,"No","NS"
"Kcnd3",-0.2443,5.07979170265619e-36,1.64001075120255e-31,0.077,0.215,"No","NS"
"Bsg",-0.2443,3.23312778201697e-20,1.04381530442418e-15,0.845,0.891,"No","NS"
"Vps37a",-0.2447,6.91649668508193e-16,2.2329909547787e-11,0.284,0.377,"No","NS"
"Psmc2",-0.2448,3.62160937056955e-19,1.16923658528838e-14,0.619,0.685,"No","NS"
"Hip1",-0.2448,1.3125373123767e-11,4.23752671300819e-07,0.367,0.438,"No","NS"
"Dido1",-0.2449,2.20057137733184e-16,7.10454469171584e-12,0.311,0.407,"No","NS"
"Ncor2",-0.2452,3.88552127508858e-17,1.25444054366235e-12,0.384,0.478,"No","NS"
"Ubr3",-0.2455,7.03276274598475e-16,2.27052745254118e-11,0.466,0.543,"No","NS"
"D5Ertd579e",-0.2458,1.68358139360072e-18,5.43544252923994e-14,0.365,0.461,"No","NS"
"Cnn2",-0.246,3.22282368027555e-19,1.04048862517696e-14,0.821,0.854,"No","NS"
"Ccnd3",-0.246,1.03478588689193e-15,3.3408062358306e-11,0.347,0.436,"No","NS"
"Prkcsh",-0.2464,1.7951468583274e-13,5.79563163211002e-09,0.465,0.523,"No","NS"
"Tsc22d2",-0.2466,2.95777371596941e-15,9.54917244200725e-11,0.42,0.505,"No","NS"
"Kif18a",-0.2466,1.36438529707355e-12,4.40491793160196e-08,0.261,0.34,"No","NS"
"Gm14964",-0.2467,8.34352532588732e-34,2.69370715146272e-29,0.029,0.132,"No","NS"
"Phf20l1",-0.2467,2.49677033233947e-17,8.06082301795797e-13,0.593,0.65,"No","NS"
"Celf4",-0.2472,1.90480402449321e-16,6.14965979307633e-12,0.306,0.4,"No","NS"
"Celf1",-0.2474,3.21834379748061e-19,1.03904229501661e-14,0.586,0.656,"No","NS"
"Vbp1",-0.2474,9.02006362585948e-16,2.91212754160873e-11,0.381,0.471,"No","NS"
"Cers6",-0.2478,3.29999946011914e-17,1.06540482569946e-12,0.336,0.432,"No","NS"
"Acbd5",-0.2478,1.62162960781633e-16,5.23543118883502e-12,0.292,0.387,"No","NS"
"Tpd52l2",-0.2481,1.6345028798642e-18,5.27699254764158e-14,0.482,0.566,"No","NS"
"Col7a1",-0.2483,1.1594586447702e-49,3.74331223464059e-45,0.008,0.132,"No","NS"
"Greb1l",-0.2483,6.93620519550614e-26,2.23935384736916e-21,0.107,0.22,"No","NS"
"Sept7",-0.2489,1.34075131992156e-25,4.32861563636677e-21,0.855,0.89,"No","NS"
"Sytl5",-0.2492,4.59685378476669e-32,1.48409424441193e-27,0.046,0.155,"No","NS"
"Wwp1",-0.2495,6.57807076349589e-15,2.12373014599465e-10,0.381,0.462,"No","NS"
"Emc4",-0.2498,2.1273969647919e-11,6.86830110083065e-07,0.434,0.495,"No","NS"
"Rbm39",-0.25,5.29062954427461e-31,1.70807974836906e-26,0.945,0.961,"No","NS"
"Chpf2",-0.25,2.96865596870826e-20,9.5843057949746e-16,0.163,0.268,"No","NS"
"Tmem160",-0.2501,1.37185780330209e-14,4.42904291796079e-10,0.458,0.535,"No","NS"
"Tgfbr3",-0.2502,2.6512760997364e-45,8.55964488799896e-41,0.013,0.132,"No","NS"
"Pag1",-0.2502,2.50147347467339e-27,8.07600711298303e-23,0.08,0.191,"No","NS"
"Tspan15",-0.2505,7.81286963353046e-13,2.52238496118531e-08,0.353,0.426,"No","NS"
"Tor1a",-0.2506,1.24238217992506e-13,4.01103086788806e-09,0.286,0.37,"No","NS"
"Ubash3b",-0.2507,4.61859505297029e-19,1.49111341285146e-14,0.158,0.257,"No","NS"
"Gxylt1",-0.251,1.3021720132403e-15,4.20406234474631e-11,0.263,0.351,"No","NS"
"Ezh2",-0.2513,2.84951340020539e-17,9.19965401256311e-13,0.56,0.631,"No","NS"
"Garnl3",-0.2514,1.35153195032895e-27,4.363420901637e-23,0.117,0.239,"No","NS"
"Thoc3",-0.2517,3.74419157460325e-16,1.20881224986066e-11,0.328,0.418,"No","NS"
"Atp5a1",-0.2522,2.06659447502404e-26,6.67200026261511e-22,0.895,0.923,"No","NS"
"Pdlim4",-0.2522,4.28037224911116e-22,1.38191818062554e-17,0.12,0.223,"No","NS"
"Cyc1",-0.2522,7.86422276211089e-20,2.5389643187475e-15,0.805,0.841,"No","NS"
"Nxt1",-0.2522,6.00570863390285e-12,1.93894303245554e-07,0.345,0.417,"No","NS"
"Rassf1",-0.2527,2.6154173796214e-15,8.44387501010767e-11,0.318,0.402,"No","NS"
"Tcp1",-0.2534,1.51045884421722e-29,4.87651637855529e-25,0.885,0.909,"No","NS"
"Pon2",-0.2534,9.5235670807663e-17,3.0746836320254e-12,0.358,0.454,"No","NS"
"Afap1l2",-0.2535,2.50232358467064e-30,8.07875169310917e-26,0.092,0.216,"No","NS"
"Ccnyl1",-0.2537,9.86728391611353e-21,3.18565261231725e-16,0.169,0.275,"No","NS"
"Fkrp",-0.2539,3.71576397167852e-21,1.19963439825641e-16,0.199,0.311,"No","NS"
"Ncaph2",-0.2541,9.03786861985211e-15,2.91787588391925e-10,0.564,0.62,"No","NS"
"Fgfr1op",-0.2546,7.79466689380761e-18,2.51650820666579e-13,0.227,0.328,"No","NS"
"Tnrc6c",-0.2551,8.3616399337677e-17,2.6995554526169e-12,0.578,0.627,"No","NS"
"Dlc1",-0.2552,2.3846445310265e-15,7.69882486841905e-11,0.299,0.383,"No","NS"
"Samm50",-0.2553,5.96992432341984e-17,1.9273900678161e-12,0.606,0.664,"No","NS"
"Dlx2",-0.2554,6.57971867089058e-34,2.12426217289702e-29,0.044,0.158,"No","NS"
"Wnt5a",-0.2555,1.84654395336081e-42,5.96156715342539e-38,0.035,0.164,"No","NS"
"Mcm3",-0.2555,4.90794553618467e-13,1.58453021635722e-08,0.445,0.517,"No","NS"
"Txnl1",-0.2558,1.16506574189446e-21,3.76141474770628e-17,0.733,0.783,"No","NS"
"Twsg1",-0.2559,8.52485035328983e-22,2.75224793655962e-17,0.171,0.282,"No","NS"
"Glg1",-0.256,1.2089950756953e-21,3.90324060188228e-17,0.786,0.821,"No","NS"
"Tnfrsf1a",-0.256,3.07901759735047e-21,9.940608313046e-17,0.209,0.32,"No","NS"
"Dysf",-0.256,3.68894046000068e-15,1.19097442751122e-10,0.349,0.435,"No","NS"
"Nrxn2",-0.2565,1.56623844850076e-28,5.05660083098469e-24,0.068,0.177,"No","NS"
"Itgb5",-0.2568,1.19736261211497e-16,3.86568519321319e-12,0.492,0.565,"No","NS"
"Gpx1",-0.2569,2.45272687622004e-24,7.9186287198764e-20,0.854,0.886,"No","NS"
"Slc39a6",-0.257,1.43274878883319e-18,4.62562946474795e-14,0.273,0.374,"No","NS"
"Hist1h2bc",-0.257,1.91552996264761e-10,6.18428848440782e-06,0.303,0.377,"No","NS"
"Osmr",-0.2572,2.18099056789989e-51,7.04132804846481e-47,0.009,0.138,"No","NS"
"Brd1",-0.2572,3.01603213591805e-21,9.73725975081143e-17,0.632,0.704,"No","NS"
"Erc1",-0.2572,5.92195206981453e-19,1.91190222573962e-14,0.484,0.574,"No","NS"
"Cdh2",-0.2573,2.59728166118974e-29,8.38532384315108e-25,0.907,0.923,"No","NS"
"mt-Nd5",-0.2573,4.15945197035183e-12,1.34287906862809e-07,0.406,0.468,"No","NS"
"Samd4b",-0.2574,2.23230641043632e-22,7.20700124609365e-18,0.214,0.33,"No","NS"
"Nr3c1",-0.2576,3.81343399540587e-18,1.23116716541678e-13,0.399,0.494,"No","NS"
"Nipbl",-0.2579,2.22370335885143e-26,7.17922629405183e-22,0.783,0.821,"No","NS"
"Prkar2a",-0.2581,6.31163084041942e-19,2.03771001682941e-14,0.412,0.506,"No","NS"
"Fam107b",-0.2584,1.4637124534876e-15,4.72559565608473e-11,0.34,0.427,"No","NS"
"Drap1",-0.2584,2.14033576217711e-15,6.91007400818882e-11,0.671,0.721,"No","NS"
"Pak1ip1",-0.2587,1.61813135858725e-13,5.22413709119895e-09,0.51,0.557,"No","NS"
"Plxdc2",-0.2589,1.22757508608512e-35,3.9632261654258e-31,0.027,0.134,"No","NS"
"Acp1",-0.2589,2.95805669346796e-15,9.55008603486132e-11,0.494,0.57,"No","NS"
"Pank2",-0.259,1.0785078330348e-16,3.48196253895286e-12,0.317,0.413,"No","NS"
"Ccn4",-0.259,6.90764127752147e-15,2.23013198644781e-10,0.34,0.421,"No","NS"
"Cebpz",-0.259,1.24761652154374e-13,4.02792993980395e-09,0.556,0.609,"No","NS"
"Sema6d",-0.2592,1.12083994636712e-33,3.61863176684626e-29,0.05,0.167,"No","NS"
"Bcar1",-0.2593,3.32246803738265e-18,1.07265880586899e-13,0.363,0.458,"No","NS"
"Actr1a",-0.2594,1.08880259383292e-15,3.51519917418957e-11,0.337,0.424,"No","NS"
"Ltbp3",-0.2595,5.17542679701102e-17,1.67088654141501e-12,0.47,0.549,"No","NS"
"Aggf1",-0.2596,3.08315452557891e-14,9.9539643858315e-10,0.278,0.36,"No","NS"
"Spcs3",-0.2598,2.27498187803256e-15,7.34477899322813e-11,0.385,0.471,"No","NS"
"Edf1",-0.26,1.03524206896535e-21,3.34227901965462e-17,0.792,0.841,"No","NS"
"Cep89",-0.26,3.40450127625638e-21,1.09914323703937e-16,0.167,0.273,"No","NS"
"Enah",-0.2601,1.51788309818798e-17,4.9004855824999e-13,0.522,0.603,"No","NS"
"Arpc2",-0.2604,5.66306854584967e-24,1.82832168002757e-19,0.824,0.868,"No","NS"
"Dnajc1",-0.2604,1.63668739849633e-22,5.2840452660454e-18,0.593,0.666,"No","NS"
"Immp1l",-0.2609,1.21157931330806e-16,3.91158381301507e-12,0.298,0.391,"No","NS"
"Myef2",-0.2617,6.2569674914241e-18,2.02006195460627e-13,0.612,0.67,"No","NS"
"Msn",-0.2619,3.5983722518593e-20,1.16173448151277e-15,0.898,0.915,"No","NS"
"Plekhg2",-0.2627,1.19624297578492e-19,3.8620704473216e-15,0.248,0.357,"No","NS"
"Faf2",-0.263,3.18199742743593e-17,1.02730786944769e-12,0.445,0.53,"No","NS"
"Ext1",-0.2631,2.42627907410883e-31,7.83324199076037e-27,0.786,0.864,"No","NS"
"Camk2g",-0.2631,8.17930795801386e-16,2.64068957424478e-11,0.386,0.469,"No","NS"
"Plod3",-0.2633,5.87945924795141e-18,1.89818341820111e-13,0.277,0.372,"No","NS"
"Stk4",-0.2637,2.28402920662345e-21,7.37398829358382e-17,0.207,0.318,"No","NS"
"Pelo",-0.2639,5.01263023919921e-21,1.61832767272547e-16,0.166,0.272,"No","NS"
"Ppt2",-0.2643,1.16332759335068e-23,3.75580313513268e-19,0.099,0.203,"No","NS"
"Kpna4",-0.2645,1.78242949387876e-26,5.75457362098758e-22,0.614,0.704,"No","NS"
"Eif3h",-0.2649,1.38209514548653e-28,4.46209417720327e-24,0.916,0.945,"No","NS"
