"Gene","avg_log2FC","p_val","p_val_adj","pct_Male","pct_Female","Significant","Direction"
"Pitrm1",-0.0381,0.55991262871002,1,0.341,0.337,"No","NS"
"Chac2",-0.0381,0.571182642202728,1,0.116,0.119,"No","NS"
"Pknox1",-0.0382,0.396609195816986,1,0.13,0.137,"No","NS"
"Sephs2",-0.0382,0.720041633331312,1,0.15,0.152,"No","NS"
"Mapk1",-0.0383,0.517495531750434,1,0.526,0.509,"No","NS"
"Rnpepl1",-0.0384,0.047399254193786,1,0.084,0.101,"No","NS"
"Elmo2",-0.0384,0.155824842251127,1,0.151,0.164,"No","NS"
"Airn",-0.0385,0.000387248127917521,1,0.489,0.521,"No","NS"
"Dicer1",-0.0385,0.369652424690719,1,0.297,0.299,"No","NS"
"Armcx2",-0.0385,0.521938898453702,1,0.139,0.142,"No","NS"
"Wtip",-0.0385,0.533598698945775,1,0.224,0.225,"No","NS"
"Chpt1",-0.0386,0.544858049145438,1,0.168,0.171,"No","NS"
"Rhod",-0.0387,0.0120195171985136,1,0.103,0.126,"No","NS"
"S100a11",-0.0388,0.215533633983036,1,0.979,0.981,"No","NS"
"Exoc8",-0.0388,0.389111645445335,1,0.101,0.106,"No","NS"
"Cdc34",-0.0389,0.381632080399973,1,0.514,0.511,"No","NS"
"Tmf1",-0.039,0.387520228620776,1,0.296,0.3,"No","NS"
"Edem3",-0.0391,0.052234826553709,1,0.132,0.151,"No","NS"
"Amd1",-0.0391,0.481721076281625,1,0.39,0.383,"No","NS"
"4931406C07Rik",-0.0392,0.0856794846005925,1,0.124,0.14,"No","NS"
"Nfs1",-0.0392,0.110562041504069,1,0.25,0.263,"No","NS"
"Tbl2",-0.0394,0.0446989948083406,1,0.099,0.116,"No","NS"
"Dcaf5",-0.0394,0.0569314624775729,1,0.183,0.202,"No","NS"
"Prdm10",-0.0394,0.0721239239627182,1,0.135,0.151,"No","NS"
"Pdap1",-0.0394,0.105309105175158,1,0.878,0.867,"No","NS"
"Ltn1",-0.0394,0.457377335789527,1,0.277,0.278,"No","NS"
