"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HIVEP3",3.97651669273843e-57,-0.31784227419754,0.79,0.874,1.45544487470919e-52
"CDH23",5.82258806538503e-57,0.260924072525707,0.131,0.022,2.13112545781157e-52
"MCUB",6.83605702544211e-57,0.372374993854614,0.227,0.081,2.50206523188207e-52
"PRSS23",1.59969615884023e-56,0.364958584359519,0.322,0.154,5.85504791097113e-52
"GREM2",6.44612842606838e-56,0.3741879962066,0.279,0.12,2.35934746522529e-51
"GPR22",1.21380980242045e-55,-0.318742916100312,0.09,0.216,4.44266525783909e-51
"RPS26",1.25166946379154e-55,0.377250089428239,0.388,0.206,4.5812354044234e-51
"FTL",1.6385729142699e-55,0.456205868973943,0.497,0.321,5.99734072351927e-51
"SPOCK1",2.01035914893645e-55,0.517024220618421,0.735,0.678,7.35811552102231e-51
"RYR2",4.37536041977109e-55,-0.498207011352156,0.659,0.746,1.60142566724041e-50
"FRY",1.50567890190824e-54,-0.412043537245028,0.729,0.823,5.51093534887437e-50
"ADGRL2",1.82958461289569e-54,-0.667900598342702,0.562,0.667,6.69646264165952e-50
"ID2",2.90413691277906e-54,-0.254690763000149,0.07,0.188,1.06294315144626e-49
"RPL35",3.76264042311964e-54,0.409636017583275,0.41,0.237,1.37716402126602e-49
"RORB",5.54063339482245e-54,-0.654499091555238,0.397,0.531,2.02792722883897e-49
"SAMD3",1.55281315206355e-53,-0.566951419509269,0.265,0.41,5.68345141786778e-49
"GALNT10",3.26041696780347e-53,-0.48957223048684,0.232,0.379,1.19334521438575e-48
"SATB2",8.01227392219435e-53,-0.382191242233426,0.798,0.822,2.93257237826235e-48
"PTPN13",1.19669924274372e-52,-0.525412960438548,0.495,0.62,4.38003889836627e-48
"SVEP1",1.26130411800537e-52,0.459573634495047,0.297,0.14,4.61649920231144e-48
"MMP17",2.78180079390291e-52,-0.377176653667786,0.178,0.316,1.0181669085764e-47
"CNTNAP3B",5.42429820694249e-52,-0.540833936276614,0.247,0.383,1.98534738672302e-47
"MEG3",6.64136475262272e-52,0.474103026050094,0.808,0.758,2.43080591310744e-47
"SMAD3",6.95235552494145e-52,-0.251364356347335,0.027,0.114,2.54463164568382e-47
"PTPRD",1.3062204006981e-51,-0.336660878756286,0.969,0.983,4.78089728859511e-47
"SCN3A",4.28521272002523e-51,-0.315486600880541,0.81,0.893,1.56843070765643e-46
"NFIB",6.12586990734259e-51,-0.330616322521167,0.606,0.775,2.24212964478646e-46
"PLXNC1",1.24796792426833e-50,0.317870869221067,0.265,0.117,4.56768739961453e-46
"LHX2",1.62010774115904e-50,-0.523981803034971,0.401,0.526,5.9297563434162e-46
"CRACR2A",1.62306724665525e-50,0.258797630663193,0.131,0.027,5.94058842948289e-46
"NRCAM",9.93642585299942e-50,0.476406503326759,0.712,0.613,3.63683122645632e-45
"COL25A1",1.03659791293476e-49,-0.440008132835153,0.162,0.302,3.79405202113251e-45
"INHBA",1.21132459851943e-49,-0.401595121736805,0.109,0.232,4.43356916304098e-45
"CACNA1G",1.53597898883172e-49,-0.380611041378818,0.193,0.329,5.62183669702296e-45
"HFM1",1.59273520005308e-49,0.424914111947472,0.353,0.192,5.82957010571428e-45
"CUX1",1.76969663489708e-49,-0.522064208363143,0.43,0.559,6.4772666533868e-45
"ADCY8",1.82988168489838e-49,0.418388104223407,0.26,0.117,6.69754995489657e-45
"RPS24",5.26060012959613e-49,0.624220853291783,0.637,0.53,1.92543225343348e-44
"EPB41L2",8.36630168248152e-49,0.496809917630132,0.394,0.235,3.06215007880506e-44
"CRIM1",1.89911950304606e-48,0.370329948387813,0.496,0.322,6.95096729309887e-44
"ENOX1",3.16287219060705e-48,0.372636707195274,0.866,0.874,1.15764285048408e-43
"RPS15",3.27761518764038e-48,0.535451313822486,0.615,0.494,1.19963993482826e-43
"RUNX2",1.44650640631778e-47,0.323328580447244,0.203,0.076,5.2943580977637e-43
"CALM1",4.27325324609768e-47,-0.394057261547768,0.573,0.669,1.56405342060421e-42
"LRRN3",7.13492220091199e-47,-0.390579464657006,0.231,0.366,2.6114528747558e-42
