SYMBOL,log2FoldChange,pvalue,padj,kd3_female_sig
Deptor,0.57262229673166,0.0264739187990796,0.125858540304885,Up after KD
Mtss1,0.587912765640538,4.85034005296166e-6,1.3093703375849e-4,Up after KD
Wnt7b,-0.877138469023471,3.61710356402327e-7,1.3620583611787e-5,Down after KD
Trmu,0.553547182311371,0.00168574310075848,0.016378164686416,Up after KD
Ppp6r2,0.82405464038671,0.0145355927839028,0.0824706569466731,Up after KD
Calcoco1,0.676534260436366,2.37118299962454e-7,9.40834489515456e-6,Up after KD
Tfap4,-0.655781423359251,7.39782393573457e-4,0.00859252163223237,Down after KD
Socs1,0.998117233234142,0.0241763368626246,0.118222087288533,Up after KD
Mpv17l,0.793601016362649,3.15852200679315e-4,0.00429762534042834,Up after KD
Etv5,0.57951974873605006,1.69119851314333e-12,2.04048277749049e-10,Up after KD
Crygs,2.42100981841354,0.0234893045720488,NA,Up after KD
Hes1,0.6044970622817,1.56136351334089e-5,3.52993540759898e-4,Up after KD
Tmem44,1.0502532764987,0.00217968310001731,0.0198098178129167,Up after KD
Mylk,1.22277104611094,6.01822741229836e-12,6.6504225161697e-10,Up after KD
Sema5b,0.554282617389108,7.30433686071119e-5,0.00132109989017386,Up after KD
Cxadr,-0.621671488360311,3.42745801217279e-10,2.73826104972507e-8,Down after KD
D16Ertd472e,-0.850140307815656,1.79303386057157e-4,0.002728549854234,Down after KD
Ets2,-0.739186413055604,2.59498926898523e-15,4.51222839948256e-13,Down after KD
3300005D01Rik,-0.913750367219646,0.025160865892151,0.1216203832104,Down after KD
Dact2,-0.746721316729698,0.0180223574462749,0.0965516380563552,Down after KD
Fam234a,0.567770045955574,1.9374153092296e-9,1.31655164461671e-7,Up after KD
Crebrf,0.864350238095667,2.77288705375959e-5,5.77229164148826e-4,Up after KD
Fkbp5,-0.680540033467868,2.58568950893664e-6,7.75969359230121e-5,Down after KD
Ppt2,0.614272222217551,8.55215256676378e-8,3.85956686829828e-6,Up after KD
Cdsn,1.25678119228788,0.00480529649788296,0.0360977292191665,Up after KD
Rcan2,0.533492507092309,0.028195404909641,0.131459963585014,Up after KD
Slc29a1,-0.531183583720052,4.0909062228671e-9,2.57291889250961e-7,Down after KD
Trerf1,0.518726146718586,0.00112807010486897,0.0118801564299656,Up after KD
Kdm4b,0.591605999243959,7.59884510491394e-5,0.00136134461394701,Up after KD
Epas1,0.958577499797859,5.36575484906152e-24,2.18774777018288e-21,Up after KD
Fzd8,0.609737464436686,2.45954554229535e-11,2.42347220767502e-9,Up after KD
Zfp521,0.637688359932759,9.78696749379813e-8,4.33412373208498e-6,Up after KD
Garem1,0.505655570069863,0.00121022371906035,0.0124866363474429,Up after KD
Lims2,0.920915892782882,8.30574353001203e-9,4.95995512620516e-7,Up after KD
Egr1,-4.36242682475384,3.15459761090246e-260,3.72999621513106e-256,Down after KD
Sh3rf2,1.00057447803479,0.00125403445875797,0.0128378384764972,Up after KD
Kcnn2,1.68462760305666,0.00514443321363316,0.0378753289651298,Up after KD
Synpo,0.65803570778435,1.39729147046229e-5,3.21431407524244e-4,Up after KD
Piezo2,2.64248929036298,0.0233937144257662,NA,Up after KD
Nfatc1,1.19159709206522,2.47918013507038e-4,0.00354459805526871,Up after KD
Rttn,-0.692985611109687,0.0208298752450345,0.106620106016142,Down after KD
Lrp5,0.746542717541993,6.19636716483326e-4,0.00747610666908046,Up after KD
Syt12,-1.60213914118055,2.85996751860663e-5,5.92228650437912e-4,Down after KD
Pcx,0.509816793086895,0.00984598250227145,0.0622228204740019,Up after KD
Malat1,0.887471724655027,7.9388441467483e-4,0.00907822951558529,Up after KD
Macrod1,0.849935680853429,0.0327972614126173,0.146836357040056,Up after KD
Lrrc10b,2.60916116302276,0.0162258581462082,NA,Up after KD
Pgm5,2.77073126568441,0.00693787347283145,NA,Up after KD
Kank1,0.599290178737045,0.0390037074100721,0.164589520491325,Up after KD
Stambpl1,-0.551121141419054,6.64551483990921e-4,0.00790087898068523,Down after KD
Ifit3b,0.781831611339186,0.0196747796520063,0.102654118103124,Up after KD
Ifit1,0.567376469929946,0.00258395287624122,0.0225314592984338,Up after KD
Exoc6,-0.930341563375265,0.0412678929009478,0.17049320952509,Down after KD
Hells,-0.558148526926987,1.73150330070486e-9,1.19726871506048e-7,Down after KD
Dusp5,-0.553939430229108,2.5103928625506e-11,2.4531310088263e-9,Down after KD
Afap1l2,0.684454344779763,5.28392596376184e-11,4.91945988941103e-9,Up after KD
Ablim1,0.676511404709135,1.53599399202947e-17,3.36325795588082e-15,Up after KD
Itga8,1.3563005402729,2.29127536345352e-6,7.01866318587421e-5,Up after KD
Gsn,1.09130698443023,2.35285164122328e-89,1.3910058902912e-85,Up after KD
Cacnb4,0.940321800654561,1.23364975034916e-5,2.87956791612498e-4,Up after KD
Ube2l6,0.554196481949071,0.00140573896925787,0.014062146846451,Up after KD
Cd82,-0.943446319879952,0.0343196817390924,0.151134419695728,Down after KD
Fibin,1.66137050764351,2.80440914515985e-13,3.81141767038736e-11,Up after KD
Fmn1,-1.02595318606238,0.00787259858936157,0.0521780301124502,Down after KD
Grem1,-2.13517402498416,0.0281427238931769,0.131317903438407,Down after KD
Itpripl1,-0.686465540123681,3.23035237279177e-4,0.0043602381798961,Down after KD
Dusp2,-0.801137405703611,9.15771375887526e-4,0.0101008215937445,Down after KD
Slc20a1,-0.706675748017865,1.39496886902981e-21,5.15440997106515e-19,Down after KD
Slc4a11,0.698034557137284,0.00360791378764472,0.0290103331854722,Up after KD
