"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TBL1XR1",2.26408428938418e-44,0.28328875678784,0.662,0.466,8.28677490757504e-40
"FARP2",2.28114617633065e-44,0.262786792997694,0.33,0.173,8.34922311998781e-40
"NOVA1",2.88313573013797e-44,0.350745767876413,0.583,0.398,1.0552565085878e-39
"COLGALT2",3.07785168289318e-44,0.450043419322807,0.281,0.137,1.12652449445573e-39
"WWC2",3.22767325670963e-44,0.27306705954087,0.37,0.199,1.18136068868829e-39
"EIF4G3",4.09273356227157e-44,0.286308240133157,0.765,0.596,1.49798141112702e-39
"SH3RF1",5.06345004608231e-44,0.282577071264878,0.461,0.276,1.85327335136659e-39
"EFCAB11",8.03458753797143e-44,0.299231607877658,0.205,0.082,2.94073938477292e-39
"MFSD4B",1.00529872083641e-43,0.317017430155531,0.337,0.178,3.67949384813333e-39
"CC2D2B",1.13768665613215e-43,0.363214532072428,0.159,0.053,4.1640469301093e-39
"SLC44A1",1.26438369077879e-43,0.439495024789672,0.545,0.349,4.62777074661944e-39
"AGT",1.49506282443227e-43,0.395359063278283,0.18,0.069,5.47207944370455e-39
"PPFIBP1",2.48485288453332e-43,0.499604341561737,0.319,0.17,9.09481004268042e-39
"ANXA4",2.96791075493483e-43,0.325901884338024,0.294,0.147,1.0862850154137e-38
"ANK2",3.03198508274966e-43,0.4094374733992,0.682,0.526,1.1097368601372e-38
"ST5",3.85502076796587e-43,0.282258397784072,0.333,0.179,1.41097615128319e-38
"NNT",4.01296721303269e-43,0.305541084014601,0.34,0.182,1.4687861296421e-38
"ARNT2",4.30748098062403e-43,0.320242724149561,0.552,0.371,1.5765811137182e-38
"CX3CR1",4.46508595382374e-43,0.718469729052016,0.128,0.035,1.63426610995903e-38
"DDAH1",6.30278636599626e-43,0.409964975768924,0.39,0.231,2.30688283781829e-38
"LINC00461",6.45964427849037e-43,0.484527506648374,0.482,0.331,2.36429440237026e-38
"FGFR2",7.44480459927713e-43,0.495841382947334,0.362,0.215,2.72487293138142e-38
"TTC28",7.64678569061314e-43,0.286770904571315,0.695,0.506,2.79880003062132e-38
"RNF13",8.41593811331983e-43,0.31972066307203,0.499,0.31,3.08031750885619e-38
"MEIS1",1.07865697140304e-42,0.295617855214829,0.278,0.138,3.94799238103228e-38
"SLC25A16",1.39482066010776e-42,0.252459796091722,0.281,0.136,5.10518309806042e-38
"LPXN",1.46111551682057e-42,0.274112784936205,0.156,0.051,5.34782890311496e-38
"ZRANB3",1.62745014417968e-42,0.300463095773209,0.24,0.109,5.95663027271204e-38
"FCHSD2",2.00189487216906e-42,0.419748033180751,0.729,0.551,7.32713542162597e-38
"OLA1",2.31157617976216e-42,0.267242966159421,0.423,0.247,8.46059997554748e-38
"FOXN3",2.57757053027305e-42,0.534539056357045,0.722,0.553,9.43416589785241e-38
"COPG2",2.68129901113874e-42,0.299069537079214,0.209,0.087,9.81382251066891e-38
"PCBD2",3.11153229168046e-42,0.268253124558901,0.16,0.054,1.13885193407796e-37
"PRR5L",3.96464580775619e-42,0.496224502453241,0.169,0.062,1.45110001209684e-37
"GABRA2",4.15344971776545e-42,0.570293602286022,0.33,0.191,1.52020413119933e-37
"SPTBN1",4.37755231443031e-42,0.389213743363625,0.63,0.437,1.60222792260464e-37
"LRIG1",4.65266308552736e-42,0.432934654590111,0.377,0.219,1.70292121593387e-37
"TLR2",5.04519235066605e-42,-0.946355973015441,0.045,0.128,1.84659085226728e-37
"TECPR2",7.9178367390708e-42,0.265112678730831,0.351,0.19,2.8980074248673e-37
"FEZ1",8.76350005478442e-42,0.29281263562323,0.268,0.13,3.20752865505165e-37
"LINC00639",1.05905308076501e-41,0.588299185151108,0.188,0.076,3.87624018090802e-37
"XPR1",1.08331298822885e-41,0.263722305264727,0.478,0.296,3.96503386821641e-37
"KIF13B",1.18307224386269e-41,0.329434047439804,0.33,0.178,4.33016271976181e-37
"SLC20A2",1.1994744450026e-41,0.37880980822404,0.473,0.289,4.39019641615401e-37
"MIR181A1HG",1.26573431589965e-41,0.382379728697449,0.428,0.262,4.6327141696243e-37
"BICD1",1.36411024661231e-41,0.391917855809741,0.574,0.397,4.9927799136257e-37
"ARHGEF12",1.51190307593944e-41,0.310871326420745,0.605,0.418,5.53371644824595e-37
"BCL6",1.54266118228389e-41,-0.901030129194962,0.203,0.308,5.64629419327726e-37
"MYO10",1.68084815730982e-41,0.439160819690013,0.38,0.229,6.15207234056968e-37
"PARVG",1.89527067678967e-41,-0.792672498745068,0.028,0.1,6.93688020411786e-37
"KIF1B",2.20441993781377e-41,0.35948728279368,0.669,0.491,8.06839741439219e-37
"ANAPC16",2.22995624198269e-41,-0.899256630341779,0.294,0.391,8.16186284128086e-37
"NCAN",2.36462619483304e-41,0.269575150707632,0.304,0.16,8.6547683357084e-37
"SLX4IP",2.90816139894276e-41,0.268345803236637,0.342,0.187,1.06441615362704e-36
"NME7",3.11756749322158e-41,0.256966407549291,0.311,0.163,1.14106087819403e-36
"ENAH",3.15509403874177e-41,0.331706292519934,0.427,0.26,1.15479596911987e-36
