"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GRIP1",5.33804463206621e-57,1.04121897846038,0.551,0.404,1.95377771578255e-52
"ABCC9",5.90679388529957e-57,-0.612664192928136,0.029,0.16,2.1619456299585e-52
"STK17A",6.24619303581871e-57,-0.400623359932873,0.076,0.238,2.28616911304001e-52
"ID2",6.37968372037449e-57,-0.839535126007944,0.151,0.324,2.33502803849427e-52
"PLPPR3",7.13538260819993e-57,0.311166258835029,0.107,0.013,2.61162138842726e-52
"BEX2",7.36797822200701e-57,0.502482422918652,0.229,0.085,2.69675370903678e-52
"RBPJ",7.6084776860303e-57,-0.450992923621624,0.445,0.629,2.78477891786395e-52
"KIF5B",7.69393859751862e-57,-0.367695828048594,0.201,0.405,2.81605846607779e-52
"KIF1B",7.80831395065653e-57,-0.472293467802901,0.629,0.782,2.8579209890798e-52
"PPP1R3C",8.76298451029292e-57,-0.649252657179991,0.038,0.175,3.20733996061231e-52
"KCNH8",9.46887802747315e-57,-0.732982775772754,0.174,0.359,3.46570404683545e-52
"ZNF800",1.14658012522561e-56,-0.281142082732319,0.168,0.363,4.19659791633824e-52
"UTP23",1.16436789150839e-56,0.586363467664941,0.33,0.164,4.26170291970986e-52
"ARHGEF6",1.35624511753581e-56,-0.34819256938954,0.098,0.276,4.96399275469282e-52
"ABCA6",1.36787149343255e-56,0.279111706503576,0.12,0.018,5.00654645311248e-52
"TMEM164",1.51092152872625e-56,-0.453722531354957,0.101,0.269,5.53012388729095e-52
"CDKL5",1.5143473960222e-56,0.800677607657355,0.447,0.283,5.54266290418087e-52
"LRRC6",1.61898306602012e-56,0.574677821630836,0.261,0.106,5.92563991994022e-52
"NAP1L3",1.75977482171102e-56,0.346326810200869,0.154,0.037,6.44095182494451e-52
"HMBOX1",2.02277233594433e-56,-0.372272388938538,0.406,0.628,7.40354902678985e-52
"ABCB9",2.09508834231069e-56,0.509747476195669,0.17,0.046,7.66823284169136e-52
"ARID1B",2.22525275207609e-56,-0.355891027382128,0.714,0.893,8.14464759787369e-52
"NAV2",2.22913918509879e-56,-0.655956368056864,0.688,0.796,8.15887233138007e-52
"FAM182A",2.31760496722465e-56,-0.327634678122731,0.056,0.205,8.48266594053894e-52
"PBX3",2.83789589501247e-56,-0.64227635042079,0.123,0.304,1.03869827653351e-51
"GLT1D1",2.91664184941448e-56,0.491970855487679,0.172,0.047,1.06752008330419e-51
"PIKFYVE",3.1003077352319e-56,-0.384732527740679,0.287,0.497,1.13474363417223e-51
"EFNB3",3.8355807128577e-56,0.336401497301771,0.101,0.011,1.40386089671305e-51
"SDK1",4.0491419545953e-56,0.807711415105773,0.619,0.473,1.48202644680143e-51
"HNRNPA3",4.15816878514992e-56,-0.340985996507669,0.263,0.482,1.52193135705272e-51
"SYN3",4.18393139298377e-56,0.886834163547504,0.523,0.347,1.53136072914599e-51
"TGFBR1",4.86190721354447e-56,-0.260419356328629,0.085,0.259,1.77950665922941e-51
