"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ELOVL7",1.90839547635813e-42,-0.270085050994534,0.075,0.178,6.98491828301839e-38
"CACNA1A",2.29633129782952e-42,-0.394004625512542,0.333,0.464,8.40480218318582e-38
"ARHGAP20",2.34761761062001e-42,-0.274478128617255,0.144,0.267,8.59251521663031e-38
"PTPRN2",4.38723347364846e-42,-0.451772822266834,0.249,0.372,1.60577132369007e-37
"SH3RF3",4.53942956367274e-42,-0.312093693834471,0.204,0.339,1.66147661459986e-37
"SV2B",8.90121178257538e-42,-0.253996328667932,0.033,0.113,3.25793252454042e-37
"GRIN2B",1.54709589465048e-41,-0.502231050063838,0.224,0.346,5.66252568401023e-37
"SHANK2",2.0594239588449e-41,-0.379112989054461,0.155,0.274,7.53769763176822e-37
"NRXN3",2.31375535701351e-41,-0.567409423948231,0.497,0.6,8.46857598220516e-37
"MYT1L",2.63179423314271e-41,-0.557450179410881,0.17,0.286,9.63263007272562e-37
"DBNDD2",3.64485408215296e-41,-0.302297069357539,0.119,0.238,1.33405304260881e-36
"BEX3",4.24147823320089e-41,-0.254031159459763,0.166,0.295,1.55242344813386e-36
"BASP1",7.82072616379951e-41,-0.302736773163819,0.18,0.306,2.86246398321226e-36
"GRK3",1.1254515414362e-40,-0.286197657110691,0.202,0.332,4.11926518681063e-36
"MLIP",1.24516923885412e-40,-0.327979370957099,0.028,0.103,4.55744393112998e-36
"LARGE1",2.91633917981842e-40,-0.373636849214113,0.451,0.571,1.06740930320534e-35
"ATP2B1",5.67270796553062e-40,-0.33270444915606,0.3,0.429,2.07626784246386e-35
"SH3GL2",1.11383614321515e-39,-0.319651260228881,0.12,0.231,4.07675166778178e-35
"RPL24",1.34864695445589e-39,-0.25090001358913,0.168,0.298,4.93618271800401e-35
"KCNQ3",1.93690641194595e-39,-0.341397848881613,0.27,0.409,7.08927115836337e-35
"PLPPR4",2.03704223771388e-39,-0.277662585784183,0.174,0.299,7.45577829425658e-35
"HDAC9",2.60057811963336e-39,-0.386846842865688,0.393,0.535,9.51837597567005e-35
"TRHDE",2.86848301267862e-39,-0.670110549575309,0.063,0.151,1.0498934674705e-34
"R3HDM1",3.65861763145632e-39,-0.512601437683686,0.463,0.578,1.33909063928933e-34
"SCN2A",3.92098839566913e-39,-0.374861521523164,0.223,0.346,1.43512096269886e-34
"DPYSL5",4.09408399402722e-39,-0.268656754016319,0.196,0.33,1.4984756826539e-34
"ARHGAP26",7.6025761474289e-39,-0.288167168099336,0.302,0.444,2.78261889572045e-34
"TLN2",1.68753088342e-38,-0.250698516229492,0.32,0.461,6.17653178640554e-34
