"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HOMER1",4.66498006737225e-58,-0.594199412252254,0.147,0.361,1.70742935445892e-53
"PHYHIP",5.00633285396237e-58,-0.416174813305828,0.04,0.222,1.83236788787877e-53
"RIMS3",6.28249200260462e-58,-0.32123559278683,0.021,0.191,2.29945489787332e-53
"HLF",6.29149063374267e-58,-0.457344595312572,0.034,0.21,2.30274848685615e-53
"RPS8",6.41530051749739e-58,-0.538688639018507,0.1,0.31,2.34806414240922e-53
"CDH20",8.74943548984575e-58,0.692710579579551,0.56,0.362,3.20238088363844e-53
"TTYH2",1.00469453772343e-57,0.597636262076306,0.273,0.109,3.67728247752152e-53
"DNAH6",1.19488133362501e-57,-0.420499784708828,0.047,0.231,4.37338516920089e-53
"NDRG3",1.20689942278435e-57,-0.326051995012621,0.094,0.309,4.41737257733301e-53
"MGAT4A",1.29752214886587e-57,-0.830496502025682,0.108,0.32,4.74906081706396e-53
"NORAD",1.42666050202598e-57,-0.499818105902168,0.119,0.336,5.22172010346528e-53
"MSRA",1.58187081019196e-57,-0.799151105167876,0.284,0.489,5.78980535238359e-53
"LINGO1",1.61060077717999e-57,-0.371211492218261,0.054,0.242,5.89495990455648e-53
"RPS24",2.08887508301796e-57,-0.64300826258194,0.1,0.306,7.64549169135405e-53
"ACOT7",2.22691015601723e-57,-0.418143148849142,0.061,0.255,8.15071386203866e-53
"SACS",2.31890224186877e-57,-0.262148717874746,0.1,0.32,8.48741409546388e-53
"UQCRH",2.3272723246014e-57,-0.375173465186236,0.059,0.251,8.51804943527358e-53
"ELF2",2.52926261795367e-57,0.823470285147546,0.574,0.431,9.25735410797224e-53
"SH2B1",2.81261839882354e-57,-0.513721211682847,0.073,0.27,1.0294464601534e-52
"NAALAD2",3.25909123828415e-57,-0.411017135680295,0.08,0.288,1.19285998412438e-52
"STAMBPL1",3.82064096198205e-57,-0.458055085725613,0.036,0.213,1.39839279849505e-52
"RPS14",3.94254114243486e-57,-0.507464868268137,0.089,0.293,1.44300948354258e-52
"MPHOSPH9",4.33214992579131e-57,-0.423065753410359,0.16,0.39,1.58561019433888e-52
"MB21D2",4.8723527964724e-57,-0.401276717518869,0.049,0.233,1.78332984703686e-52
"MAG",4.96018309360711e-57,0.780872563759848,0.208,0.072,1.81547661409114e-52
"PRTG",5.49454484337262e-57,0.340810302734789,0.165,0.047,2.01105835812281e-52
"SVEP1",5.60202446591579e-57,1.55156299607571,0.274,0.129,2.05039697476984e-52
"LRRC28",6.44890833543563e-57,-0.408774827259753,0.138,0.362,2.36036493985279e-52
"CAMKK2",7.89963504168229e-57,-0.368541013849872,0.066,0.263,2.89134542160613e-52
"ABAT",8.71419836799973e-57,-0.456317803844608,0.111,0.325,3.18948374467158e-52
"ABHD8",9.75275442740349e-57,-0.397293459034016,0.022,0.187,3.56960564797395e-52
"DDR2",1.02350585871813e-56,0.503684306374461,0.156,0.044,3.74613379349421e-52
"BAZ2B",1.0780684009009e-56,0.643391245581054,0.701,0.582,3.94583815413738e-52
"RAB6B",1.23696770657068e-56,-0.335218878884229,0.066,0.261,4.52742550281934e-52
"CDKL5",1.29056179124979e-56,-0.491029393102965,0.173,0.399,4.72358521215337e-52
"UBAP1L",1.55563566838928e-56,-0.329175672594844,0.09,0.3,5.69378210987162e-52
"FIGN",1.71514266138928e-56,0.998232923936974,0.396,0.234,6.2775936549509e-52
"TVP23A",1.76063843961635e-56,-0.412590910845863,0.06,0.248,6.44411275283978e-52
"C8orf34",1.94203108981105e-56,-0.742856910824945,0.03,0.2,7.10802799181741e-52
"LMO7",1.97427079282437e-56,-0.484569185631972,0.099,0.307,7.22602852881647e-52
"SH3KBP1",2.28764834147025e-56,-0.619811637767489,0.158,0.395,8.37302169461526e-52
"NPM2",2.29054359067153e-56,-0.289899105800523,0.014,0.174,8.38361859621688e-52
"TNR",2.3754372638432e-56,-0.343273317852292,0.172,0.421,8.69433792939251e-52
"ACTL6B",2.65598424588672e-56,-0.311355813040907,0.016,0.174,9.72116793836999e-52
"GRIN3A",2.68341480823087e-56,-0.748657589351475,0.006,0.156,9.8215665396058e-52
"CNDP1",3.16235700001237e-56,1.10401956144427,0.332,0.156,1.15745428557453e-51
"GRAMD1B",3.44311689465514e-56,-0.569515184686454,0.155,0.377,1.26021521461273e-51
"VWC2",3.52369594206017e-56,-0.667048611753603,0.054,0.237,1.28970795175344e-51
"CENPP",3.56274169146572e-56,-0.561804493374269,0.135,0.362,1.30399908649337e-51
"SYNJ1",4.25212057583353e-56,-0.38332487448014,0.102,0.315,1.55631865196083e-51
"GRM8",4.5304423721346e-56,-0.73251292738415,0.04,0.214,1.65818721262499e-51
"ANKS1B",4.79528012921566e-56,-0.6830171932286,0.635,0.712,1.75512048009423e-51
"LINC01170",5.11779551522176e-56,1.15714025051123,0.271,0.118,1.87316433652631e-51
"VSTM2L",5.49777608704754e-56,-0.342625560079592,0.007,0.158,2.01224102562027e-51
"RPL30",5.51801291226302e-56,-0.443636233714347,0.057,0.244,2.01964790601739e-51
"MARCH11",5.78638232831847e-56,-0.311503781055702,0.007,0.158,2.11787379598784e-51
"LARP1B",5.80426245462002e-56,-0.609670138162031,0.165,0.383,2.12441810101548e-51
"MAP7",5.83939008133006e-56,0.986242604606779,0.668,0.566,2.13727516366762e-51
"RGS4",6.39620541161924e-56,-0.308744289319976,0.011,0.165,2.34107514270676e-51
"TANGO6",6.57652194961793e-56,-0.574422298497069,0.154,0.382,2.40707279877966e-51
"PDE3B",7.22780253611316e-56,-0.831455912196768,0.136,0.349,2.64544800624278e-51
"GPM6B",7.57983750329054e-56,0.836528703703454,0.709,0.607,2.77429632457937e-51
"MYH10",8.60049213313307e-56,-0.539120444234476,0.164,0.373,3.14786612564804e-51
"PAK1",1.1340993822133e-55,-0.447922560271002,0.159,0.384,4.15091714883891e-51
"RPS3A",1.22668716593907e-55,-0.26491714609165,0.056,0.244,4.48979769605357e-51
"SERINC1",1.29221748090584e-55,-0.483336992934791,0.139,0.356,4.72964520186347e-51
"RPL38",1.347196797031e-55,-0.494972349875026,0.067,0.256,4.93087499681317e-51
"RPS15A",1.65729158116408e-55,-0.453184671210527,0.047,0.226,6.06585291621863e-51
