"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.54334365123097e-100,0.56006447010359,0.863,0.731,8.21118497799918e-96,"Banf1"
2.94155972215977e-100,0.512148324848248,0.38,0.14,9.49682556299282e-96,"Stard13"
4.96276844219275e-99,0.609713718366521,0.862,0.725,1.60222979156193e-94,"Arid5b"
3.15645503188867e-98,0.580942872756971,0.767,0.578,1.01906150704526e-93,"Prdx6"
1.26480918987011e-97,0.83048767312223,0.894,0.759,4.08343646949564e-93,"Spp1"
5.6727563948187e-97,0.51255197121453,0.479,0.218,1.83144940206722e-92,"Twist2"
9.56693557822673e-97,0.647032322736467,0.687,0.436,3.0886851514305e-92,"Pdlim2"
1.20618577638713e-96,0.64030509255934,0.726,0.472,3.89417077906586e-92,"Msi2"
5.65913220652191e-95,0.666726825466146,0.678,0.431,1.8270508328756e-90,"Farp1"
3.18424214109609e-89,0.530435049598282,0.562,0.308,1.02803257525287e-84,"2610001J05Rik"
1.36431251017765e-88,0.663390315307373,0.611,0.361,4.40468293910854e-84,"Ube2e2"
1.91151342265072e-88,0.625656659045988,0.564,0.329,6.17132108502787e-84,"Ecm1"
7.30521789224156e-87,0.559671828415045,0.733,0.509,2.35848959651019e-82,"Nisch"
2.82673106716576e-84,0.545876629350465,0.634,0.392,9.12610125034466e-80,"Selenok"
2.46432311228573e-81,0.553520759668472,0.529,0.287,7.95606716801449e-77,"Ldlr"
3.84830052562264e-81,0.556151774947154,0.715,0.506,1.24242382469727e-76,"Elk3"
1.12441066424329e-80,0.607601597934417,0.67,0.434,3.63015982950946e-76,"Apbb2"
1.48844377709362e-80,0.511981941047531,0.616,0.375,4.80544073434676e-76,"Glud1"
3.14898165817e-80,0.525407981247084,0.593,0.354,1.01664872834018e-75,"Nenf"
1.91660769109329e-79,0.59867748126186,0.695,0.497,6.18776793069467e-75,"Cstb"
2.6975329857048e-79,0.512446913101371,0.509,0.273,8.70898524434796e-75,"Mmp14"
1.36694771802563e-78,0.514889704863599,0.675,0.468,4.41319070764574e-74,"Siva1"
3.83860965722274e-74,0.515057471178405,0.65,0.433,1.23929512783436e-69,"Mrpl57"
2.06422522026899e-73,0.573601069989269,0.44,0.218,6.66435112363844e-69,"Ank2"
1.52216510827159e-71,0.528531866124953,0.772,0.584,4.91431005205484e-67,"Dad1"
3.69892709441026e-71,0.513491846305404,0.568,0.339,1.19419861243035e-66,"Bmpr1a"
5.88498012106236e-70,0.525802184996631,0.737,0.545,1.89996583208498e-65,"Wwc1"
1.27679551532227e-67,0.671800253600262,0.386,0.19,4.12213432121796e-63,"Ptch1"
9.74312463952427e-67,0.507950351118436,0.869,0.742,3.14556778987041e-62,"Camk2d"
4.49324823537708e-65,0.532857867905676,0.56,0.339,1.45064519279149e-60,"Lhfpl4"
5.65002279546866e-64,0.763875101075133,0.797,0.685,1.82410985951706e-59,"Hmga2"
1.53248573911753e-62,0.521194769663102,0.6,0.397,4.94763020874095e-58,"Gmds"
9.51416926054317e-54,0.519249030293619,0.39,0.213,3.07164954576636e-49,"Lmo7"
2.08058173586346e-46,0.509413744001295,0.765,0.624,6.71715813423517e-42,"Nav2"
3.94047797222143e-40,0.577730613071753,0.624,0.491,1.27218331333169e-35,"Adamtsl3"
1.48832200846604e-38,0.708370225209277,0.317,0.181,4.80504760433262e-34,"Mt3"
2.41187834508993e-33,0.903574337228901,0.499,0.379,7.78674923712285e-29,"Peg10"
3.15471388766596e-26,0.585566704204962,0.359,0.245,1.01849937863295e-21,"Ptn"
