Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
85	Potassium Channel Regulator Activity (GO:0015459)	2/45	0.0836316121977826	0.268605060352878	0	0	4.33150504607284	10.7479094166811	KCNIP1;ADRB2
86	Cyclin-Dependent Protein Serine/Threonine Kinase Regulator Activity (GO:0016538)	2/46	0.0868385429002981	0.275661886183504	0	0	4.23284734133791	10.3438289984673	CDKN2B;CCNG2
87	Glycine Transmembrane Transporter Activity (GO:0015187)	1/9	0.0922969977803603	0.276890993341081	0	0	11.6068075117371	27.6560470666687	SLC6A9
88	Voltage-Gated Chloride Channel Activity (GO:0005247)	1/9	0.0922969977803603	0.276890993341081	0	0	11.6068075117371	27.6560470666687	CLCN6
89	Phosphatidylinositol Transfer Activity (GO:0008526)	1/9	0.0922969977803603	0.276890993341081	0	0	11.6068075117371	27.6560470666687	PLTP
90	Clathrin Heavy Chain Binding (GO:0032050)	1/9	0.0922969977803603	0.276890993341081	0	0	11.6068075117371	27.6560470666687	LDLR
91	Cyclin-Dependent Protein Serine/Threonine Kinase Inhibitor Activity (GO:0004861)	1/9	0.0922969977803603	0.276890993341081	0	0	11.6068075117371	27.6560470666687	CDKN2B
92	RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629)	5/228	0.0986587572000539	0.2901016754728	0	0	2.09871907653357	4.86081865628183	ARNT2;BCAS3;FOS;AHR;TRIB2
93	BMP Receptor Binding (GO:0070700)	1/10	0.102013775990435	0.2901016754728	0	0	10.3166405842462	23.5492529723353	BMP4
94	Transmembrane Receptor Protein Serine/Threonine Kinase Binding (GO:0070696)	1/10	0.102013775990435	0.2901016754728	0	0	10.3166405842462	23.5492529723353	BMP4
95	Vinculin Binding (GO:0017166)	1/10	0.102013775990435	0.2901016754728	0	0	10.3166405842462	23.5492529723353	CORO2B
96	Filamin Binding (GO:0031005)	1/10	0.102013775990435	0.2901016754728	0	0	10.3166405842462	23.5492529723353	SYNPO2
97	Kinase Activity (GO:0016301)	3/106	0.105115173386379	0.290230250848653	0	0	2.71702019969631	6.12062771026839	MVK;PMVK;TRIB3
98	Serine-Type Endopeptidase Inhibitor Activity (GO:0004867)	2/53	0.110244928758705	0.290230250848653	0	0	3.65057343692194	8.04969974381046	SERPINF1;SERPINB9
99	Hexosaminidase Activity (GO:0015929)	1/11	0.111627019557174	0.290230250848653	0	0	9.28450704225352	20.35713723529	NAGA
100	D-glucose Transmembrane Transporter Activity (GO:0055056)	1/11	0.111627019557174	0.290230250848653	0	0	9.28450704225352	20.35713723529	SLC2A3
101	P-type Ion Transporter Activity (GO:0015662)	1/11	0.111627019557174	0.290230250848653	0	0	9.28450704225352	20.35713723529	ATP2B4
102	Phospholipid Scramblase Activity (GO:0017128)	1/11	0.111627019557174	0.290230250848653	0	0	9.28450704225352	20.35713723529	PLSCR4
103	Carbohydrate Kinase Activity (GO:0019200)	1/11	0.111627019557174	0.290230250848653	0	0	9.28450704225352	20.35713723529	KHK
104	Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0097153)	1/11	0.111627019557174	0.290230250848653	0	0	9.28450704225352	20.35713723529	CASP12
105	Cytidine Deaminase Activity (GO:0004126)	1/11	0.111627019557174	0.290230250848653	0	0	9.28450704225352	20.35713723529	CDA
106	Endopeptidase Inhibitor Activity (GO:0004866)	3/112	0.118731455569889	0.30063633574744	0	0	2.56667681203531	5.46930854917758	SERPINF1;TIMP3;SERPINB9
107	CoA-ligase Activity (GO:0016405)	1/12	0.121137826387134	0.30063633574744	0	0	8.4400341442595	17.8154462182338	ACSS2
108	Insulin-Like Growth Factor I Binding (GO:0031994)	1/12	0.121137826387134	0.30063633574744	0	0	8.4400341442595	17.8154462182338	ITGB4
109	Acid-Thiol Ligase Activity (GO:0016878)	1/12	0.121137826387134	0.30063633574744	0	0	8.4400341442595	17.8154462182338	ACSS2
110	Kinase Binding (GO:0019900)	8/460	0.121756022528738	0.30063633574744	0	0	1.66113927313343	3.49792085464363	CDKN2B;PIK3IP1;TRIB3;MAPRE3;ACSL3;PTN;MAP2K6;TTC28
111	Protein Phosphatase Binding (GO:0019903)	3/115	0.125773469300805	0.30063633574744	0	0	2.49754570074475	5.17809370002518	SH3RF2;ATP2B4;PDLIM4
112	MHC Class I Protein Binding (GO:0042288)	1/13	0.130547282864418	0.30063633574744	0	0	7.73630672926448	15.7512736567685	TUBB2A
113	Metalloendopeptidase Inhibitor Activity (GO:0008191)	1/13	0.130547282864418	0.30063633574744	0	0	7.73630672926448	15.7512736567685	TIMP3
114	Phosphatidylglycerol Binding (GO:1901611)	1/13	0.130547282864418	0.30063633574744	0	0	7.73630672926448	15.7512736567685	PLTP
115	Phosphotransferase Activity, For Other Substituted Phosphate Groups (GO:0016780)	1/13	0.130547282864418	0.30063633574744	0	0	7.73630672926448	15.7512736567685	PGF
116	Sterol Binding (GO:0032934)	2/59	0.131449535874429	0.30063633574744	0	0	3.26530950016551	6.62574484118709	STARD4;INSIG1
117	Carboxylic Acid Transmembrane Transporter Activity (GO:0046943)	2/59	0.131449535874429	0.30063633574744	0	0	3.26530950016551	6.62574484118709	SLC25A1;SLC7A2
118	Tubulin Binding (GO:0015631)	6/322	0.132528002565906	0.30063633574744	0	0	1.7773247322298	3.59190452938879	BCAS3;DIXDC1;KIF21A;MAPRE3;KIF21B;RMDN1
119	Transmembrane-Ephrin Receptor Activity (GO:0005005)	1/14	0.139856463882509	0.30063633574744	0	0	7.14084507042254	14.0470322623625	EPHB3
120	Hyaluronic Acid Binding (GO:0005540)	1/14	0.139856463882509	0.30063633574744	0	0	7.14084507042254	14.0470322623625	CEMIP
121	Water Channel Activity (GO:0015250)	1/14	0.139856463882509	0.30063633574744	0	0	7.14084507042254	14.0470322623625	AQP5
122	MAP Kinase Kinase Activity (GO:0004708)	1/14	0.139856463882509	0.30063633574744	0	0	7.14084507042254	14.0470322623625	MAP2K6
123	Myosin V Binding (GO:0031489)	1/14	0.139856463882509	0.30063633574744	0	0	7.14084507042254	14.0470322623625	RAB3D
124	Nucleoside Diphosphate Phosphatase Activity (GO:0017110)	1/14	0.139856463882509	0.30063633574744	0	0	7.14084507042254	14.0470322623625	NUDT18
125	Phospholipase A1 Activity (GO:0008970)	1/14	0.139856463882509	0.30063633574744	0	0	7.14084507042254	14.0470322623625	LIPG
126	Calcium-Dependent Cysteine-Type Endopeptidase Activity (GO:0004198)	1/14	0.139856463882509	0.30063633574744	0	0	7.14084507042254	14.0470322623625	CAPN5
127	Endopeptidase Activator Activity (GO:0061133)	1/14	0.139856463882509	0.30063633574744	0	0	7.14084507042254	14.0470322623625	APH1B
128	L-amino Acid Transmembrane Transporter Activity (GO:0015179)	2/63	0.146061197871044	0.303695046457663	0	0	3.05057222394061	5.86847602799568	SLC6A9;SLC7A2
129	CoA Hydrolase Activity (GO:0016289)	1/15	0.149066433059805	0.303695046457663	0	0	6.63044936284373	12.6201534025028	ACOT2
130	Insulin-Like Growth Factor Binding (GO:0005520)	1/15	0.149066433059805	0.303695046457663	0	0	6.63044936284373	12.6201534025028	ITGB4
131	Voltage-Gated Monoatomic Anion Channel Activity (GO:0008308)	1/15	0.149066433059805	0.303695046457663	0	0	6.63044936284373	12.6201534025028	CLCN6
132	K48-linked Deubiquitinase Activity (GO:1990380)	1/15	0.149066433059805	0.303695046457663	0	0	6.63044936284373	12.6201534025028	MINDY2
133	Oxidoreductase Activity, Acting On NAD(P)H, Quinone Or Similar Compound As Acceptor (GO:0016655)	1/15	0.149066433059805	0.303695046457663	0	0	6.63044936284373	12.6201534025028	DCXR
134	Ephrin Receptor Activity (GO:0005003)	1/15	0.149066433059805	0.303695046457663	0	0	6.63044936284373	12.6201534025028	EPHB3
135	Hexose Transmembrane Transporter Activity (GO:0015149)	1/16	0.158178242732584	0.319871557525893	0	0	6.18810641627543	11.4110709740405	SLC2A3
136	Ubiquitin Protein Ligase Binding (GO:0031625)	5/271	0.165973664008795	0.328371734142422	0	0	1.75558513508652	3.15290125925653	TUBB2A;TRIB3;ISG15;APBB1;TRIB2
137	Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Cyclic Amidines (GO:0016814)	1/17	0.167192934233687	0.328371734142422	0	0	5.80105633802817	10.3758090372569	CDA
138	Basic Amino Acid Transmembrane Transporter Activity (GO:0015174)	1/17	0.167192934233687	0.328371734142422	0	0	5.80105633802817	10.3758090372569	SLC7A2
139	Protein Phosphatase 1 Binding (GO:0008157)	1/17	0.167192934233687	0.328371734142422	0	0	5.80105633802817	10.3758090372569	SH3RF2
140	TBP-class Protein Binding (GO:0017025)	1/18	0.176111537825667	0.343417498760052	0	0	5.45954156310412	9.48124595993874	THRA
141	1-Acylglycerol-3-Phosphate O-acyltransferase Activity (GO:0003841)	1/19	0.184935072901581	0.346629890332967	0	0	5.15597287428273	8.70199565627592	LPCAT3
142	R-SMAD Binding (GO:0070412)	1/19	0.184935072901581	0.346629890332967	0	0	5.15597287428273	8.70199565627592	FOS
143	Microtubule Plus-End Binding (GO:0051010)	1/19	0.184935072901581	0.346629890332967	0	0	5.15597287428273	8.70199565627592	MAPRE3
144	Cysteine-Type Endopeptidase Inhibitor Activity Involved In Apoptotic Process (GO:0043027)	1/19	0.184935072901581	0.346629890332967	0	0	5.15597287428273	8.70199565627592	SERPINB9
145	Lysophosphatidic Acid Acyltransferase Activity (GO:0042171)	1/20	0.193664548135628	0.346629890332967	0	0	4.88435878428466	8.01829892083201	LPCAT3
146	acyl-CoA Hydrolase Activity (GO:0047617)	1/20	0.193664548135628	0.346629890332967	0	0	4.88435878428466	8.01829892083201	ACOT2
147	Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors, NAD Or NADP As Acceptor (GO:0016620)	1/20	0.193664548135628	0.346629890332967	0	0	4.88435878428466	8.01829892083201	ALDH1A3
148	Phosphatidic Acid Binding (GO:0070300)	1/20	0.193664548135628	0.346629890332967	0	0	4.88435878428466	8.01829892083201	PLTP
149	Phosphatidylinositol Phospholipase C Activity (GO:0004435)	1/20	0.193664548135628	0.346629890332967	0	0	4.88435878428466	8.01829892083201	PLCD1
150	Phosphotransferase Activity, Phosphate Group As Acceptor (GO:0016776)	1/20	0.193664548135628	0.346629890332967	0	0	4.88435878428466	8.01829892083201	PMVK
151	Pyridoxal Phosphate Binding (GO:0030170)	1/20	0.193664548135628	0.346629890332967	0	0	4.88435878428466	8.01829892083201	CTH
152	Deaminase Activity (GO:0019239)	1/20	0.193664548135628	0.346629890332967	0	0	4.88435878428466	8.01829892083201	CDA
153	Serine-Type Peptidase Activity (GO:0008236)	3/142	0.194934406328363	0.346629890332967	0	0	2.00964915271574	3.28596156352478	CAPN5;PCSK9;PCSK6
154	Metal Ion Binding (GO:0046872)	8/521	0.196448157449398	0.346629890332967	0	0	1.45899808853309	2.37431033254311	ARSA;SHH;MVK;KCNIP1;S100A16;IDH1;PLSCR4;NUDT18
155	Ubiquitin-Like Protein Ligase Binding (GO:0044389)	5/289	0.198461858667323	0.346629890332967	0	0	1.64279938001213	2.65666672669416	TUBB2A;TRIB3;ISG15;APBB1;TRIB2
156	Phospholipase Activity (GO:0004620)	2/77	0.199343929605406	0.346629890332967	0	0	2.47937106918239	3.99854037665329	LIPG;PLB1
157	Phosphotransferase Activity, Alcohol Group As Acceptor (GO:0016773)	2/77	0.199343929605406	0.346629890332967	0	0	2.47937106918239	3.99854037665329	MVK;KHK
158	Triglyceride Lipase Activity (GO:0004806)	1/21	0.202300961529579	0.347346933947012	0	0	4.63990610328638	7.41456430086283	LIPG
159	Lysophospholipase Activity (GO:0004622)	1/21	0.202300961529579	0.347346933947012	0	0	4.63990610328638	7.41456430086283	PLB1
160	Phosphatase Inhibitor Activity (GO:0019212)	1/22	0.210845300571225	0.355313376888546	0	0	4.41873463000224	6.8783374811486	PTN
161	Bicarbonate Transmembrane Transporter Activity (GO:0015106)	1/22	0.210845300571225	0.355313376888546	0	0	4.41873463000224	6.8783374811486	SLC4A11
162	Protein Kinase A Regulatory Subunit Binding (GO:0034237)	1/22	0.210845300571225	0.355313376888546	0	0	4.41873463000224	6.8783374811486	AKAP7
163	N-acetyltransferase Activity (GO:0008080)	1/23	0.219298542294468	0.362839406341755	0	0	4.21766965428937	6.39955987908919	NAT8L
164	Phospholipase C Activity (GO:0004629)	1/23	0.219298542294468	0.362839406341755	0	0	4.21766965428937	6.39955987908919	PLCD1
165	Phospholipid Transfer Activity (GO:0120014)	1/23	0.219298542294468	0.362839406341755	0	0	4.21766965428937	6.39955987908919	PLTP
166	GTPase Binding (GO:0051020)	4/225	0.221452337690923	0.364195711985674	0	0	1.68627450980392	2.54213958322291	BNIP3;CDC42EP2;SORL1;RAP1GAP
167	Glucose Transmembrane Transporter Activity (GO:0005355)	1/24	0.227661653413002	0.365597831657351	0	0	4.03408858950806	5.97002643779304	SLC2A3
168	Notch Binding (GO:0005112)	1/24	0.227661653413002	0.365597831657351	0	0	4.03408858950806	5.97002643779304	CHAC1
169	Monoatomic Anion Transmembrane Transporter Activity (GO:0008509)	1/24	0.227661653413002	0.365597831657351	0	0	4.03408858950806	5.97002643779304	CLCN6
170	Peptidase Activator Activity (GO:0016504)	1/24	0.227661653413002	0.365597831657351	0	0	4.03408858950806	5.97002643779304	APH1B
171	Magnesium Ion Binding (GO:0000287)	3/155	0.231015324694786	0.36881393942501	0	0	1.83655525068596	2.69105157111852	MVK;IDH1;NUDT18
172	FAD Binding (GO:0071949)	1/25	0.235935590466322	0.374479163937824	0	0	3.86580594679186	5.58298315886974	SQLE
