Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
41	Protein Binding Involved In Heterotypic Cell-Cell Adhesion (GO:0086080)	1/9	0.0432537102642525	0.148873235328125	0	0	25.6365979381443	80.5161520575775	CXADR
42	Protein Serine Kinase Activity (GO:0106310)	1/9	0.0432537102642525	0.148873235328125	0	0	25.6365979381443	80.5161520575775	PRKG2
43	Purine Nucleobase Transmembrane Transporter Activity (GO:0005345)	1/9	0.0432537102642525	0.148873235328125	0	0	25.6365979381443	80.5161520575775	SLC29A1
44	Platelet-Derived Growth Factor Binding (GO:0048407)	1/10	0.0479438656358351	0.15768204698008	0	0	22.786941580756	69.220448859451	PDGFB
45	Semaphorin Receptor Activity (GO:0017154)	1/10	0.0479438656358351	0.15768204698008	0	0	22.786941580756	69.220448859451	PLXNA3
46	C2H2 Zinc Finger Domain Binding (GO:0070742)	1/11	0.0526112631068001	0.158907488567478	0	0	20.5072164948454	60.3901649352506	LEF1
47	cAMP Binding (GO:0030552)	1/11	0.0526112631068001	0.158907488567478	0	0	20.5072164948454	60.3901649352506	PDE4B
48	Pseudouridine Synthase Activity (GO:0009982)	1/11	0.0526112631068001	0.158907488567478	0	0	20.5072164948454	60.3901649352506	PUS10
49	Sodium:Phosphate Symporter Activity (GO:0005436)	1/11	0.0526112631068001	0.158907488567478	0	0	20.5072164948454	60.3901649352506	SLC20A1
50	CoA-ligase Activity (GO:0016405)	1/12	0.0572560118631969	0.159798991616193	0	0	18.6419868791003	53.3202327649354	ACSBG1
51	Vascular Endothelial Growth Factor Receptor Binding (GO:0005172)	1/12	0.0572560118631969	0.159798991616193	0	0	18.6419868791003	53.3202327649354	VEGFC
52	Platelet-Derived Growth Factor Receptor Binding (GO:0005161)	1/12	0.0572560118631969	0.159798991616193	0	0	18.6419868791003	53.3202327649354	PDGFB
53	3',5'-cyclic-AMP Phosphodiesterase Activity (GO:0004115)	1/13	0.0618782205955173	0.159798991616193	0	0	17.0876288659794	47.547814104252	PDE4B
54	Phosphatidylglycerol Binding (GO:1901611)	1/13	0.0618782205955173	0.159798991616193	0	0	17.0876288659794	47.547814104252	PITPNC1
55	K63-linked Deubiquitinase Activity (GO:0061578)	1/13	0.0618782205955173	0.159798991616193	0	0	17.0876288659794	47.547814104252	STAMBPL1
56	Chloride Channel Regulator Activity (GO:0017081)	1/13	0.0618782205955173	0.159798991616193	0	0	17.0876288659794	47.547814104252	SGK1
57	Metalloendopeptidase Inhibitor Activity (GO:0008191)	1/13	0.0618782205955173	0.159798991616193	0	0	17.0876288659794	47.547814104252	TIMP1
58	Phosphatase Activity (GO:0016791)	2/83	0.0626239291468864	0.159798991616193	0	0	5.09799382716049	14.1245415596328	DUSP4;DUSP5
59	3'-5' DNA Helicase Activity (GO:0043138)	1/14	0.0664779974990266	0.166758366607728	0	0	15.7724028548771	42.7571584956825	HELQ
60	Four-Way Junction DNA Binding (GO:0000400)	1/16	0.0756106860715391	0.174849711540434	0	0	13.6680412371134	35.29303731792	XRCC3
61	3',5'-Cyclic-Nucleotide Phosphodiesterase Activity (GO:0004114)	1/16	0.0756106860715391	0.174849711540434	0	0	13.6680412371134	35.29303731792	PDE4B
62	Ubiquitin-Protein Transferase Activator Activity (GO:0097027)	1/16	0.0756106860715391	0.174849711540434	0	0	13.6680412371134	35.29303731792	N4BP3
63	Ribosomal Small Subunit Binding (GO:0043024)	1/16	0.0756106860715391	0.174849711540434	0	0	13.6680412371134	35.29303731792	UNG
64	Wnt Receptor Activity (GO:0042813)	1/16	0.0756106860715391	0.174849711540434	0	0	13.6680412371134	35.29303731792	NID1
65	Phosphatidylcholine Transporter Activity (GO:0008525)	1/17	0.0801438116194419	0.178044417761949	0	0	12.8131443298969	32.339512847966	PITPNC1
66	Histone Acetyltransferase Binding (GO:0035035)	1/17	0.0801438116194419	0.178044417761949	0	0	12.8131443298969	32.339512847966	EGR1
67	Growth Factor Receptor Binding (GO:0070851)	2/96	0.0806011891219634	0.178044417761949	0	0	4.39007092198582	11.0552604352508	PDGFB;EREG
68	5'-3' RNA Polymerase Activity (GO:0034062)	1/18	0.0846549330937291	0.179616320485271	0	0	12.0588235294118	29.7753081545444	POLR3G
69	Transforming Growth Factor Beta Receptor Binding (GO:0005160)	1/18	0.0846549330937291	0.179616320485271	0	0	12.0588235294118	29.7753081545444	TGFB1
70	Histone Deacetylase Binding (GO:0042826)	2/99	0.0849536650943849	0.179616320485271	0	0	4.25365120274914	10.4880120580062	TFAP4;LEF1
71	DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)	4/348	0.0917715617267449	0.189787873025988	0	0	2.41934685799109	5.77849581212554	EGR1;KLF5;TFAP4;LEF1
72	Phosphatidic Acid Binding (GO:0070300)	1/20	0.093611586019575	0.189787873025988	0	0	10.7883884970157	25.5533890867207	PITPNC1
73	DNA-directed DNA Polymerase Activity (GO:0003887)	1/20	0.093611586019575	0.189787873025988	0	0	10.7883884970157	25.5533890867207	POLE2
74	DNA Polymerase Activity (GO:0034061)	1/21	0.0980573273541831	0.192912875526126	0	0	10.2484536082474	23.7989896974176	POLE2
75	Cyclic Nucleotide Binding (GO:0030551)	1/21	0.0980573273541831	0.192912875526126	0	0	10.2484536082474	23.7989896974176	PDE4B
