Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
78	Positive Regulation Of DNA-templated Transcription (GO:0045893)	10/1243	0.012048486578961	0.115798914073829	0	0	2.48574049698855	10.9840304318752	CSRNP1;RPS6KA3;LBHD1;EGR1;LEF1;PDGFB;SPP1;LIF;MYBL2;KLF2
79	Regulation Of Wound Healing (GO:0061041)	2/47	0.012116707565341	0.115798914073829	0	0	12.807729468599	56.5226873087026	SERPINE1;HBEGF
80	Regulation Of DNA Binding (GO:0051101)	2/48	0.0126147732665188	0.116359912128513	0	0	12.528670447385	54.7864559968855	LEF1;PLAUR
81	Positive Regulation Of miRNA Metabolic Process (GO:2000630)	2/49	0.0131216770611515	0.116359912128513	0	0	12.2614862781375	53.1350242336968	EGR1;PDGFB
82	Negative Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043154)	2/49	0.0131216770611515	0.116359912128513	0	0	12.2614862781375	53.1350242336968	RPS6KA3;PLAUR
83	Intracellular Iron Ion Homeostasis (GO:0006879)	2/50	0.0136373517747766	0.116359912128513	0	0	12.0054347826087	51.5626556423293	HMOX1;F3
84	Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)	6/557	0.0141235773770893	0.116359912128513	0	0	3.24634929498813	13.8291549282081	LBHD1;EGR1;LEF1;PDGFB;SPP1;KLF2
85	Positive Regulation Of Chemokine Production (GO:0032722)	2/53	0.0152363349672646	0.116359912128513	0	0	11.2975277067349	47.2696721189094	EGR1;HMOX1
86	Positive Regulation Of Cell Migration (GO:0030335)	4/272	0.0159594594691923	0.116359912128513	0	0	4.37981733125418	18.1223857434414	SEMA7A;LEF1;PDGFB;HBEGF
87	Cellular Response To Organic Cyclic Compound (GO:0071407)	3/152	0.0168797530733589	0.116359912128513	0	0	5.85669166995657	23.90490943748	EGR1;PDGFB;SPP1
88	Regulation Of Mitotic Nuclear Division (GO:0007088)	2/56	0.0169118718793741	0.116359912128513	0	0	10.6682769726248	43.5237901685006	PDGFB;EREG
89	Striated Muscle Contraction (GO:0006941)	2/57	0.0174870916169268	0.116359912128513	0	0	10.4737812911726	42.3799805078165	TNNT2;SCN5A
90	Positive Regulation Of Granulocyte Differentiation (GO:0030854)	1/5	0.0176260304057791	0.116359912128513	0	0	71.1607142857143	287.373896428125	LEF1
91	ERBB2-EGFR Signaling Pathway (GO:0038134)	1/5	0.0176260304057791	0.116359912128513	0	0	71.1607142857143	287.373896428125	EREG
92	Regulation Of Glomerular Filtration (GO:0003093)	1/5	0.0176260304057791	0.116359912128513	0	0	71.1607142857143	287.373896428125	PDGFB
93	Negative Regulation Of Nervous System Process (GO:0031645)	1/5	0.0176260304057791	0.116359912128513	0	0	71.1607142857143	287.373896428125	JAM2
94	Regulation Of Hormone Biosynthetic Process (GO:0046885)	1/5	0.0176260304057791	0.116359912128513	0	0	71.1607142857143	287.373896428125	EGR1
95	Regulation Of Hyaluronan Biosynthetic Process (GO:1900125)	1/5	0.0176260304057791	0.116359912128513	0	0	71.1607142857143	287.373896428125	PDGFB
96	T-helper 1 Cell Differentiation (GO:0045063)	1/5	0.0176260304057791	0.116359912128513	0	0	71.1607142857143	287.373896428125	LEF1
97	Inflammatory Response To Wounding (GO:0090594)	1/5	0.0176260304057791	0.116359912128513	0	0	71.1607142857143	287.373896428125	HMOX1
98	Negative Regulation Of Trophoblast Cell Migration (GO:1901164)	1/5	0.0176260304057791	0.116359912128513	0	0	71.1607142857143	287.373896428125	TIMP1
99	Aspartate Metabolic Process (GO:0006531)	1/5	0.0176260304057791	0.116359912128513	0	0	71.1607142857143	287.373896428125	ASS1
100	Neutrophil Extravasation (GO:0072672)	1/5	0.0176260304057791	0.116359912128513	0	0	71.1607142857143	287.373896428125	JAML
101	Cellular Response To Iron Ion (GO:0071281)	1/5	0.0176260304057791	0.116359912128513	0	0	71.1607142857143	287.373896428125	F3
102	Regulation Of Ventricular Cardiac Muscle Cell Membrane Depolarization (GO:0060373)	1/5	0.0176260304057791	0.116359912128513	0	0	71.1607142857143	287.373896428125	SCN5A
103	Response To Heparin (GO:0071503)	1/5	0.0176260304057791	0.116359912128513	0	0	71.1607142857143	287.373896428125	EGR1
104	Dermatan Sulfate Metabolic Process (GO:0030205)	1/5	0.0176260304057791	0.116359912128513	0	0	71.1607142857143	287.373896428125	DSEL
105	Dermatan Sulfate Proteoglycan Metabolic Process (GO:0050655)	1/5	0.0176260304057791	0.116359912128513	0	0	71.1607142857143	287.373896428125	DSEL
106	Response To Testosterone (GO:0033574)	1/5	0.0176260304057791	0.116359912128513	0	0	71.1607142857143	287.373896428125	SPP1
107	Ruffle Assembly (GO:0097178)	1/5	0.0176260304057791	0.116359912128513	0	0	71.1607142857143	287.373896428125	AIF1L
108	Negative Regulation Of Cellular Extravasation (GO:0002692)	1/5	0.0176260304057791	0.116359912128513	0	0	71.1607142857143	287.373896428125	PTGER4
109	Positive Regulation Of Epithelial Cell Differentiation Involved In Kidney Development (GO:2000698)	1/5	0.0176260304057791	0.116359912128513	0	0	71.1607142857143	287.373896428125	LIF
110	Positive Regulation Of Fever Generation (GO:0031622)	1/5	0.0176260304057791	0.116359912128513	0	0	71.1607142857143	287.373896428125	PTGS2
111	Glycosaminoglycan Biosynthetic Process (GO:0006024)	2/58	0.0180705574674558	0.116359912128513	0	0	10.286231884058	41.2834967029354	CHST11;DSEL
112	Positive Regulation Of Cell Differentiation (GO:0045597)	4/283	0.0181857182558046	0.116359912128513	0	0	4.20478253891831	16.8490627586498	RPS6KA3;LEF1;KCTD11;CCN2
113	Regulation Of miRNA Transcription (GO:1902893)	2/59	0.018662205384361	0.116359912128513	0	0	10.1052631578947	40.2316284909056	EGR1;PDGFB
114	Regulation Of Cell Population Proliferation (GO:0042127)	7/766	0.0187538394845097	0.116359912128513	0	0	2.76247529644269	10.9845873608396	PDGFB;LIF;IGFBP7;TIMP1;AREG;EREG;HBEGF
115	Regulation Of Cell Migration (GO:0030334)	5/434	0.0190023709401405	0.116359912128513	0	0	3.4435261707989	13.647353723408	SEMA7A;SERPINE1;LEF1;PDGFB;HBEGF
116	Negative Regulation Of Peptidase Activity (GO:0010466)	2/60	0.0192619716562532	0.116359912128513	0	0	9.93053473263368	39.2218634898292	SERPINE1;TIMP1
117	Negative Regulation Of Cell Migration (GO:0030336)	3/163	0.0202790599227773	0.116359912128513	0	0	5.45101102941176	21.2489483473721	SERPINE1;HMOX1;TIMP1
118	AV Node Cell Action Potential (GO:0086016)	1/6	0.0211143151809355	0.116359912128513	0	0	56.9257142857143	219.608249637401	SCN5A
119	AV Node Cell To Bundle Of His Cell Communication (GO:0086067)	1/6	0.0211143151809355	0.116359912128513	0	0	56.9257142857143	219.608249637401	SCN5A
120	Positive Regulation Of Hormone Metabolic Process (GO:0032352)	1/6	0.0211143151809355	0.116359912128513	0	0	56.9257142857143	219.608249637401	EGR1
121	Negative Regulation Of Membrane Protein Ectodomain Proteolysis (GO:0051045)	1/6	0.0211143151809355	0.116359912128513	0	0	56.9257142857143	219.608249637401	TIMP1
122	SA Node Cell Action Potential (GO:0086015)	1/6	0.0211143151809355	0.116359912128513	0	0	56.9257142857143	219.608249637401	SCN5A
123	Negative Regulation Of Plasminogen Activation (GO:0010757)	1/6	0.0211143151809355	0.116359912128513	0	0	56.9257142857143	219.608249637401	SERPINE1
124	Regulation Of Ketone Biosynthetic Process (GO:0010566)	1/6	0.0211143151809355	0.116359912128513	0	0	56.9257142857143	219.608249637401	EGR1
125	Histone H4-K12 Acetylation (GO:0043983)	1/6	0.0211143151809355	0.116359912128513	0	0	56.9257142857143	219.608249637401	JADE1
126	Regulation Of Metallopeptidase Activity (GO:1905048)	1/6	0.0211143151809355	0.116359912128513	0	0	56.9257142857143	219.608249637401	TIMP1
127	Keratinocyte Proliferation (GO:0043616)	1/6	0.0211143151809355	0.116359912128513	0	0	56.9257142857143	219.608249637401	EREG
128	Positive Regulation Of Unsaturated Fatty Acid Biosynthetic Process (GO:2001280)	1/6	0.0211143151809355	0.116359912128513	0	0	56.9257142857143	219.608249637401	PTGS2
129	Locomotor Rhythm (GO:0045475)	1/6	0.0211143151809355	0.116359912128513	0	0	56.9257142857143	219.608249637401	EGR1
130	Long-Term Synaptic Depression (GO:0060292)	1/6	0.0211143151809355	0.116359912128513	0	0	56.9257142857143	219.608249637401	PLK2
131	Regulation Of Prostaglandin Biosynthetic Process (GO:0031392)	1/6	0.0211143151809355	0.116359912128513	0	0	56.9257142857143	219.608249637401	PTGS2
132	Cellular Response To Laminar Fluid Shear Stress (GO:0071499)	1/6	0.0211143151809355	0.116359912128513	0	0	56.9257142857143	219.608249637401	KLF2
133	Cellular Response To Prostaglandin E Stimulus (GO:0071380)	1/6	0.0211143151809355	0.116359912128513	0	0	56.9257142857143	219.608249637401	PTGER4
134	Regulation Of Vascular Associated Smooth Muscle Cell Differentiation (GO:1905063)	1/6	0.0211143151809355	0.116359912128513	0	0	56.9257142857143	219.608249637401	PDGFB
135	Citrulline Metabolic Process (GO:0000052)	1/6	0.0211143151809355	0.116359912128513	0	0	56.9257142857143	219.608249637401	ASS1
136	Regulation Of Atrial Cardiac Muscle Cell Membrane Depolarization (GO:0060371)	1/6	0.0211143151809355	0.116359912128513	0	0	56.9257142857143	219.608249637401	SCN5A
137	Regulation Of Atrial Cardiac Muscle Cell Membrane Repolarization (GO:0060372)	1/6	0.0211143151809355	0.116359912128513	0	0	56.9257142857143	219.608249637401	SCN5A
138	Negative Regulation Of Endopeptidase Activity (GO:0010951)	2/66	0.0230275293733089	0.122951943520755	0	0	8.99682971014493	33.9276282771118	SERPINE1;TIMP1
139	Positive Regulation Of MAPK Cascade (GO:0043410)	4/310	0.0244418292622687	0.122951943520755	0	0	3.82850453614282	14.2093387673469	SEMA7A;PDGFB;LIF;CCN2
140	Venous Blood Vessel Development (GO:0060841)	1/7	0.0245903887041511	0.122951943520755	0	0	47.4357142857143	175.768277473899	CCBE1
141	Negative Regulation Of Vascular Associated Smooth Muscle Cell Differentiation (GO:1905064)	1/7	0.0245903887041511	0.122951943520755	0	0	47.4357142857143	175.768277473899	PDGFB
142	Atrial Cardiac Muscle Cell To AV Node Cell Signaling (GO:0086026)	1/7	0.0245903887041511	0.122951943520755	0	0	47.4357142857143	175.768277473899	SCN5A
143	Positive Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904754)	1/7	0.0245903887041511	0.122951943520755	0	0	47.4357142857143	175.768277473899	PDGFB
144	Positive Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900748)	1/7	0.0245903887041511	0.122951943520755	0	0	47.4357142857143	175.768277473899	CCBE1
145	Leukocyte Aggregation (GO:0070486)	1/7	0.0245903887041511	0.122951943520755	0	0	47.4357142857143	175.768277473899	JAM2
146	protein-RNA Complex Disassembly (GO:0032988)	1/7	0.0245903887041511	0.122951943520755	0	0	47.4357142857143	175.768277473899	DYRK3
147	Regulation Of Vascular Wound Healing (GO:0061043)	1/7	0.0245903887041511	0.122951943520755	0	0	47.4357142857143	175.768277473899	SERPINE1
148	Monosaccharide Biosynthetic Process (GO:0046364)	1/7	0.0245903887041511	0.122951943520755	0	0	47.4357142857143	175.768277473899	DSEL
149	Regulation Of DNA-templated Transcription In Response To Stress (GO:0043620)	1/7	0.0245903887041511	0.122951943520755	0	0	47.4357142857143	175.768277473899	RPS6KA3
150	Positive Regulation Of Calcium Ion Import (GO:0090280)	1/7	0.0245903887041511	0.122951943520755	0	0	47.4357142857143	175.768277473899	PDGFB
151	Dermatan Sulfate Proteoglycan Biosynthetic Process (GO:0050651)	1/7	0.0245903887041511	0.122951943520755	0	0	47.4357142857143	175.768277473899	DSEL
152	Regulation Of Endopeptidase Activity (GO:0052548)	2/69	0.0250148480210735	0.124251383262569	0	0	8.59268873026173	31.6922910506263	SERPINE1;TIMP1
153	Negative Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001237)	2/70	0.0256923673959438	0.125331308240784	0	0	8.46589940323956	30.9984097911655	SERPINE1;HMOX1
154	Sulfur Compound Biosynthetic Process (GO:0044272)	2/70	0.0256923673959438	0.125331308240784	0	0	8.46589940323956	30.9984097911655	CHST11;DSEL
155	Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)	3/179	0.0258488917127384	0.125331308240784	0	0	4.95145387700535	18.0999780153032	SEMA7A;PDGFB;CCN2
156	Cellular Response To Hypoxia (GO:0071456)	2/72	0.0270696649446019	0.125331308240784	0	0	8.2231884057971	29.6802956095651	HMOX1;PTGS2
157	Cellular Response To Decreased Oxygen Levels (GO:0036294)	2/73	0.0277693239290475	0.125331308240784	0	0	8.10696060420494	29.0539144946734	HMOX1;PTGS2
158	Positive Regulation Of Gene Expression (GO:0010628)	5/480	0.0278455312599066	0.125331308240784	0	0	3.10271132376396	11.1110661019563	PTGER4;EGR1;LEF1;PDGFB;EREG
159	Positive Regulation Of Macrophage Cytokine Production (GO:0060907)	1/8	0.0280542928380034	0.125331308240784	0	0	40.6571428571429	145.292919316992	SEMA7A
160	Negative Regulation Of Smooth Muscle Cell Differentiation (GO:0051151)	1/8	0.0280542928380034	0.125331308240784	0	0	40.6571428571429	145.292919316992	PDGFB
161	Regulation Of Nephron Tubule Epithelial Cell Differentiation (GO:0072182)	1/8	0.0280542928380034	0.125331308240784	0	0	40.6571428571429	145.292919316992	LIF
162	Manganese Ion Transport (GO:0006828)	1/8	0.0280542928380034	0.125331308240784	0	0	40.6571428571429	145.292919316992	SLC41A2
163	Cellular Response To Platelet-Derived Growth Factor Stimulus (GO:0036120)	1/8	0.0280542928380034	0.125331308240784	0	0	40.6571428571429	145.292919316992	PDGFB
164	Cyclooxygenase Pathway (GO:0019371)	1/8	0.0280542928380034	0.125331308240784	0	0	40.6571428571429	145.292919316992	PTGS2
165	Positive Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:1903589)	1/8	0.0280542928380034	0.125331308240784	0	0	40.6571428571429	145.292919316992	HMOX1
