"SYMBOL","log2FC_Male","pvalue_Male","padj_Male","log2FC_Female","pvalue_Female","padj_Female"
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,1.01086814519652,0.640791924700703,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.529970373224129,0.838751454221611,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,-0.440303544889868,0.913086056444978,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,-1.41529381399139,0.18871961294421,0.438910445210925
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,-0.226203591226377,0.327060449366834,0.59531446325638
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0,1,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.117610173943291,0.482217401478029,0.728276586907194
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,-1.24499612011456,0.177763438663915,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,-0.207468745397299,0.288267088515848,0.557308219723902
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,-0.47257463053405,0.532365249831273,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,1.54811609429402,0.753268265077652,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.499436242297376,0.696189654483999,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,-0.205962524295825,0.817349448954139,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.0490735285554808,0.988709451505711,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,-0.672527922838394,0.736188845506235,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,1.01085928815597,0.83018788562455,NA
NA,-0.499813117202811,3.97730348918092e-08,3.00895184375381e-06,0.0411137727175881,0.989804902101535,NA
